name,subheading,desc,quote,servings,time,difficulty,category,tips,id
Ashley's sticky rice mango,Made with creamy coconut milk,"This Asian-inspired sticky rice recipe is made with coconut milk and served with ripe, fresh mango – a delicious dessert for any occasion.",“A super-simple dessert – top with beautifully ripe mango and you're in for a real treat! ”,6,25 minutes plus soaking & chilling,Not too tricky,rice-recipes,,86
Limoncello & fruit salad fro-yo,,Whip up limoncello and fruit salad frozen yoghurt for a refreshing treat – limoncello optional! It's a great way to use up leftover fruit salad or a glut of summer berries. Get creative!,"“If you have any leftover fruit salad or fruit that’s on the turn, chop it and freeze it until you want to make this. Lose the yoghurt if you want to go for a sorbet vibe.  ”",1.4 litres,10 minutes plus freezing,Super easy,fruit-recipes,,87
Icelandic rice pudding,With a tangy berry jam sauce,Jamie's rice pudding recipe is an awesome twist on the original recipe; thick creamy and indulgent rice pudding with a delicious fruity sauce on top.,"“This little twist on good-old rice pudding is creamy, sticky, fresh and fruity – delicious! ”",6,50 minutes,Super easy,rice-recipes,,88
Vegan chocolate brownies,A luxurious vegan treat,"Easy vegan brownies – they're chocolaty, gooey, and can be enjoyed by all. Just follow Jamie's simple vegan brownie recipe for a seriously good treat! ","“Gooey, nutty and seriously chocolaty, these vegan brownies are a total joy to eat ”",16,40 minutes,Super easy,chocolate-recipes,,89
Bakewell tart,,A quick and easy dessert recipe from Jamie Oliver. This classic Bakewell tart is packed with warm frangipane and it shows you how to make shortcrust pastry.,,12,1 hour 55 minutes plus cooling & chilling,Not too tricky,egg-recipes,,90
Bun and butter pudding,With apricots and cognac,Jamie's bun and butter pudding is made with hot cross buns; a delicious twist on a bread and butter pud packed with fruit and dusted with icing sugar.,“Easter calls for this cheeky hot-cross bun bread and butter pudding – magic  ”,8,1 hour plus soaking time,Super easy,bread-recipes,,91
Surprise pudding,With boozy vanilla crème fraîche,My surprise pudding is actually beetroot cake; it is marvellous and served with a beautiful boozy vanilla crème fraîche,“The surprise here is that this cakey treat is made with beetroot – bet you didn't see that coming! ”,10,50 minutes,Super easy,vegetables-recipes,,92
Amalfi lemon layer cake,With vanilla buttercream & meringue drops," A special occasion deserves a special cake, and this is one epic recipe! Layers of lemony sponge, homemade lemon curd, vanilla buttercream and meringue come together to make a truly extraordinary bake.","“Lemons are one of Jamie's desert-island ingredients, and he's all about bold flavours... yuzu and lemon is about as bold as it gets!  ”",16,3 hours 35 minutes plus cooling,Showing off,fruit-recipes,,93
Box grater fruit salad,Grated fruit salad with a wonderful juicy dressing,This colourful box grater fruit salad has a wonderful juicy dressing - it's a great way to get kids involved in making their own healthy breakfast too. One for the whole family to enjoy.,"“This delicious colourful breakfast looks beautiful and is so easy to make. Get the kids to grate the fruit, minding little fingers! ”",6,15 minutes,Super easy,fruit-recipes,,94
Fruit & nut topping for Christmas cake,Super light and fruity,A fruit and nut topped Christmas cake makes a light and fruity alternative to the traditional version; try Jamie's Fruit and Nut Christmas cake topping.,“This fruity cake topping jazzes up any Christmas cake recipe and looks really tempting and festive!  ”,12,15 minutes,Super easy,fruit-recipes,,95
Ultimate gingerbread,"Gorgeous with ice cream, or as a cheesecake base","Jamie's gingerbread recipe is the best ever, the versatile dish can be eaten as is or sprinkled over yogurt; it makes a great cheesecake base too! ","“Inspired by a secret gingerbread recipe (they wouldn't share!), my version's up there with the best. ”",8 to 10 pieces,25 minutes plus cooling time,Super easy,bread-recipes,Check out my Christmas Cookbook to find out how to use this recipe to make a giant gingerbread person. Everyone will love it!,96
Jools’ easy creamy rice pudding,An old-school classic brought up to date,"This gorgeous rice pudding recipe is a beautiful breakfast recipe, or can double-up as dessert. You can top this pudding with any fresh fruit you like.","“You can top this pudding with any fresh fruit you like, mashed or whole, and occasionally I add a few small blobs of jam, too. I’ve used unsweetened almond milk here because my kids like the taste of it, but regular milk works just fine, too ”",4 to 6,50 minutes,Super easy,rice-recipes,"As a treat, I sometimes like to turn this into chocolate rice pudding by adding two tablespoons of quality cocoa powder in with the rest of the ingredients.",97
Peach cobbler,"One of the tastiest, easiest dessert recipes","Soften your peaches in the oven with vanilla, citrus zest and brown sugar then top with crumble cobbler topping and bake for a gorgeous pud ",“The combination of hot juicy peaches in their own gorgeous syrup with soft yet crisp little scone-like dumplings is just amazing.  ”,6,50 minutes,Super easy,fruit-recipes,,98
Individual hazelnut and chocolate clafoutis,Sweet little French pudding cups,This chocolate and hazelnut clafoutis is absolutely gorgeous and mixing the flavours together works so well; find out how to make it today.,"“You can't go wrong with a gooey-centred chocolate sponge, and these are a real hit at dinner parties ”",8,40 minutes,Super easy,chocolate-recipes,,99
The best coffee & walnut cake,,"Baking for a special occasion? This gorgeous cake with the classic combo of coffee and walnut is perfect for a birthday cake, afternoon tea, Mother's Day or Easter treat… well, any time really – enjoy!","“This cake is a favourite afternoon pick-me-up, but you can use decaf coffee if you are baking for children or anyone sensitive to caffeine. ”",12,45 minutes plus cooling,Not too tricky,uncategorised-recipes,,100
Strawberries with lemon and mint (Fragole con limone e menta),With a splash of Prosecco,Strawberry desserts are always popular and Jamie's fresh strawberries with mint and lemon recipe is a really simple way to combine flavours.,"“Here's a really easy way to jazz up seasonal strawberries for a lovely, light summer dessert ”",4,5 minutes plus freezing time,Super easy,fruit-recipes,,101
Fresh pineapple with crème fraîche and mint,Perfect for summer,As pineapple recipes go they don't get much better than this! Try Jamie's grilled pineapple on the BBQ with delicious vanilla crème fraiche and mint.,“This is one easy-peasy pineapple recipe and makes a deliciously light dessert at barbecues ”,4,10 minutes plus BBQ heating time,Super easy,fruit-recipes,,102
Vegan bread & butter pudding,A vegan twist on a British classic,Try this vegan bread and butter pudding recipe from Jamie Oliver. It's delicious and soft in the middle with a crispy top – great vegan comfort food!,"“Lovely and soft in the middle while crisp and golden on top, this really is comfort food at its best ”",10,1 hour,Not too tricky,bread-recipes,,103
Lollipops,,"Have you ever made your own fruit ice lollies before? Well, give this lollipop recipe by Jamie Oliver a go! It’s a great way to get the kids into the kitchen. Let them pick their favourite fruit juice",,12,5 minutes plus freezing time,Super easy,fruit-recipes,,104
Summer smush-ins,With berries and ice cream,Strawberries and ice cream is a winning combination and this is a really easy dessert recipe that children will love in the summer as a treat.,"“I love making this fun, easy dessert with the kids, it's great for getting creative! ”",6,10 minutes,Super easy,fruit-recipes,,105
Chocolate & caramel tart with hazelnuts,,"This Chocolate and caramel tart with hazelnuts is a delicious decadent treat, and an impressive dessert to show off your skills to friends and family.",,12,2 hours 10 minutes,Showing off,chocolate-recipes,,106
Queen Victoria sponge,Topped with crystallized rose petals,Looking for a beautiful cake for a birthday or special occasion? Jamie Oliver's gorgeous classic Victoria sponge recipe with jam is a real showstopper.,"“This classic afternoon tea Victoria sponge recipe is about precision sponge making, wonderful jam and gorgeous Jersey cream ”",10,1 hour,Not too tricky,fruit-recipes,,107
Fruity frozen yoghurt,Banana & seasonal ripe fruit,Whiz up Jamie Oliver's fruity frozen yoghurt for a healthy snack or pud – it has just 146 calories per serving. Healthier than ice cream but just as delicious!,“Healthier than ice cream... but just as delicious! Choose any flavour you like for a really tasty and refreshing snack – it’s great for keeping the kids happy ”,6,15 minutes plus freezing,Super easy,fruit-recipes,"Whenever you have a glut of overripe fruit, chop them up and freeze them in a single layer on a tray ready to blitz into a quick frozen yoghurt another day. Once the fruit is frozen, transfer to freezer bags to save space.",108
Plum lattice pie,,,,12,1 hour 35 minutes plus chilling & setting,Not too tricky,fruit-recipes,,109
Rich chocolate tart with salt flakes,Made with shortcrust pastry,"This sea salt chocolate tart recipe is a proper showstopper. The salt brings out the sweetness in this rich tart, which really takes things up a level.",“This salted chocolate tart is so easy to knock up but the addition of salt magically brings out the sweetness ”,12,55 minutes plus 2 hours setting time,Not too tricky,chocolate-recipes,,110
Croquembouche,Dulce de leche filling & chocolate sauce,"This Croquembouche recipe from Jamie Oliver makes an impressive dessert, although it's a bit cheffy Jamie is confident anyone can make it, give it a go!","“This is a little cheffy, but I wanted to show that anyone can make one. I used to find it tricky, but then I found this method. I love it with dulce de leche, but strawberries with cream are fab. Whatever floats your bateau. ”",12,1 hour 30 minutes,Showing off,chocolate-recipes,,111
Blackberry and apple pie,Just add a dollop of custard,"The blackberries really make this apple pie recipe; with Bramley cooking apples and stem ginger, you can't go wrong with a Blackberry and Apple Pie.","“The winter berries in my apple pie recipe really bring it to life, and the ginger adds lovely depth ”",8,1 hour 50 minutes plus chilling time,Not too tricky,fruit-recipes,,112
Archie's royal roulade,Strawberries & cream,This gorgeous strawberries and cream roulade is a showstopper! A delicious Jamie Oliver cake recipe to celebrate the arrival of the royal baby – congrats!,"“I love a good classic English dessert and this one ticks all the boxes for a right royal knees up! Bursting with fresh strawberries and cream, and laced with elderflower, lemon and vanilla, it’s a thing of beauty and an absolute joy to eat.  ”",12,1 hour plus cooling,Not too tricky,fruit-recipes,,113
Frozen cranberry cranachan,With oatmeal crunch,"Toasted oatmeal crunch, raspberries, cranberries and whiskey cream come together to make this gorgeous festive showstopper from Jamie Magazine.","“A creamy semifreddo inspired by the oaty Scottish dessert cranachan, and topped with a Drambuie cream. It ticks all the boxes when it comes to layers, flavour and texture – and better still, it can be made in advance. ”",12,1 hour plus cooling and freezing,Not too tricky,fruit-recipes,,114
Peach ice cream,,,"“Some people find the double cream cloying. You can make this with a custard made from 5 egg yolks, well-whisked with 150g caster sugar, to which you add 300ml of almost boiling single cream. Add fruit and alcohol and cool before freezing.  ”",6,15 minutes plus freezing,Super easy,fruit-recipes,,115
Whisky Simnel Cake,,"A good simnel cake recipe is a must-have for Easter. This cake, from Jamie magazine, is spiked with Scotch whisky, and packed with currants, stem ginger and mixed peel.","“This fruitcake with a marzipan layer is a traditional Easter treat, the 11 balls on top representing the 12 apostles, minus Judas. The fruit needs to be soaked in whisky overnight, but it’s worth the wait. ”",12,2 hours 40 minutes to 3 hours plus soaking and cooling time,Not too tricky,fruit-recipes,,116
Raspberry burnt cream,,"For a super-summery take on crème brûlée, try this raspberry burnt cream. And don't worry if you don't have a blow torch, just pop them under the grill until the sugar bubbles. Simple.",,4,40 minutes plus chilling,Not too tricky,fruit-recipes,,117
Spiced sugar & Christmas popcorn,A little festive treat,This spiced sugar & Christmas popcorn recipe makes a cheap festive treat or even a cute gift with the spiced sugar acting as delicious popcorn seasoning.,"“Homemade popcorn is a great, cheap snack and makes a cute gift too ”",8,20 minutes plus drying time,Super easy,uncategorised-recipes,,118
Stuffed fruit crumble,,"Serve up this gorgeous plum dessert and you're sure to please. It's a genius twist on a traditional crumble recipe, and it's also gluten free and dairy free, so suitable for all.",,4,,Super easy,fruit-recipes,,119
Poached peaches or apricots & lemongrass,,"This beautiful poached peach recipe from Jamie magazine is a great summer dessert. Delicious on its own, served with vanilla ice cream, or thick and creamy Greek yoghurt.",,6,20 minutes plus cooling,Super easy,fruit-recipes,,120
Prosecco jelly,,"Need a make-ahead pudding recipe for a party? This showstopper summer pudding is made with seasonal berries, prosecco and gorgeous edible flowers",,18,50 minutes plus setting,Showing off,fruit-recipes,,121
Gluten-free chocolate cake,Decadent and delicious,"Try this delicious homemade gluten-free chocolate cake recipe from Jamie Oliver, topped with buttercream icing and fresh raspberries. Perfect for a party!","“Whether you’re gluten intolerant or not, this delicious gluten-free chocolate cake with scrumptious buttercream icing and a hit of fresh raspberries is a real winner! ”",12,50 minutes plus cooling,Super easy,chocolate-recipes,,122
Chocolate clafoutis,With caramelized oranges,An easy chocolate recipe from Jamie Oliver. This is a fab dinner party dessert that can be on the table in just 40 minutes! Delicious with crème fraîche.,"“The nice thing about this recipe is that the fruit accompanying it can be varied – certain things work really well with chocolate, like oranges, clementines, apricots or cherries, so give them a try. ”",6,40 minutes,Super easy,chocolate-recipes,,123
"Vegan chocolate, cherry & honeycomb parfait",A decadent vegan treat,Being vegan doesn't mean you can't have a killer dessert. Jamie Oliver's dairy-free dessert recipe is a gorgeous vegan chocolate pudding. So delicious!,"“Being a vegan doesn’t mean you can’t create knockout puddings. This dark chocolate, honeycomb, almond and berry dessert is even better than it sounds ”",8,1 hour 45 minutes,Not too tricky,chocolate-recipes,,124
Dolly’s bramble trifle,,Create the delicious fruity dessert that is dolly's bramble trifle recipe and enjoy the perfectly sweet finish to a hearty meal with friends and family.,"“Pete’s partner, Dolly Sweet, is brilliant at baking and desserts. Every autumn she makes this trifle using brambles they’ve picked themselves. Trifle is perfect for when people are over as it looks great and can be made in advance.  ”",10,30 minutes plus refrigerating for 3 hours,Not too tricky,fruit-recipes,,125
Food Allergy Mums' really chocolatey chocolate cake,Gluten-free and dairy-free - great for a party!,"This amazing chocolate cake recipe is dairy-free, gluten-free and vegan! It’s also super-easy to make, so you can get the kids to help out. Fantastic for a kids' birthday party!","“You can also use this mixture to make 12 large cupcakes or 24 little ones, but remember to reduce the cooking time to 15 to 20 minutes. You can easily freeze these complete with icing and defrost an hour or so before they are needed. ”",12,50 minutes,Not too tricky,chocolate-recipes,"Please note that at Jamie Oliver, we don't recommend rice milk as a main drink for under 5s.",126
Dairy-free chocolate & nut cookies,"With pecans, hazelnuts & cocoa",Love cookies? Look no further than Jamie Oliver's chocolate and nut dairy-free cookies;  packed with pecans and hazelnuts they're a decedent dairy-free treat. ,“An amazing cross between crunchy cookies and gooey brownies – you will love these. ”,20,25 minutes plus cooling,Super easy,chocolate-recipes,,127
Sour cranberry Bakewell,With orange & lemon sherbet drizzle sauce,"Jamie's delicious twist on the traditional Bakewell tart uses hazelnuts and walnuts instead of almonds, and is topped with a zingy sherbet drizzle sauce. Amazing!","“My sweet and sour bakewell tart has a wicked praline filling, and the sour cranberries really make the whole thing sing. ”",12,1 hour 50 minutes,Not too tricky,fruit-recipes,,128
"Pistachio, lemon & thyme nougat",,"A nougat recipe that makes a great Christmas gift, why not try making your own with this recipe for pistachio, lemon & thyme nougat from Jamie Oliver. ","“We love this combination of thyme, lemon and pistachio – but you could try this recipe with other nuts and flavours you like. ”",28,50 minutes plus setting overnight,Not too tricky,uncategorised-recipes,,129
Gluten-free mince pies,With gluten-free mincemeat & zesty pastry,Looking for gluten free mince pies? Look no further than Jamie's simple yet tasty gluten free mince pie recipe made with delicious crumbly gluten free pastry.,"“No one will know the difference with these gluten-free mince pies, filled with brilliant homemade mincemeat. ”",8,40 minutes plus chilling and overnight soaking,Not too tricky,fruit-recipes,"This recipe will give you enough filling for 16 pies, so store leftovers in a jar for up to a week in the fridge for a fresh batch later.",130
Rhubarb & strawberry pavlova,With vanilla cream,"Need a pretty summer pudding? Combine two beautiful summer fruits in these gorgeous mini rhubarb and strawberry pavlovas. A lovely way to round off a lunch, barbecue or family party.",,8,1 hour 10 minutes,Not too tricky,fruit-recipes,,131
Vegan chocolate tart with rhubarb,"Cardamom, vanilla & ginger","Looking for a decadent vegan pud? This rich dairy-free tart is perfect for Mother's Day, Easter or Christmas. It uses vegan chocolate and soya margarine, with hints of cardamom, vanilla and ginger – delicious!","“You won’t miss the dairy in this rich, decadent tart, which is beautifully offset by tangy rhubarb. ”",12,1 hour 10 minutes plus chilling,Showing off,chocolate-recipes,,132
Mint choc teacakes,A treat from our childhood,Creating the mother of all afternoon teas? You've got to make these mint choc teacakes. You'll really show off your skills with peppermint meringue filling piped onto chocolate biscuits. Gorgeous!,"“Fluffy, mint-tinged marshmallowy meringue is piped into peaks over chocolate biscuits, then dipped in dark chocolate ”",40,1 hour 30 minutes plus 2 hours chilling,Showing off,chocolate-recipes,,133
Italian-style bakewell tart,"Plums, fresh rosemary & limoncello icing","Try Jamie's Italian-style twist on a Bakewell tart, with plums, fresh rosemary and limoncello icing. So beautiful and just perfect for feeding a crowd.",,18,1 hour to 1 hour 10 minutes plus cooling time,Not too tricky,fruit-recipes,,134
Blackberry fool,,"Try this blackberry fool recipe from Jamie Oliver for a super easy flavourful dessert for friends of family, with a satisfyingly sweet and sharp finish.",,6 to 8,20 minutes,Super easy,fruit-recipes,,135
Chocolate & chestnut yule log,,Making your own Chocolate & Chestnut Yule Log might seem daunting but Jamie Oliver shows you how to create your own decadent masterpiece this Christmas.,,12,1 hour 20 minutes,Showing off,chocolate-recipes,,136
The world-famous tarte Tatin,My take on the classic French apple tart,"This world-famous Tarte Tatin recipe is dead simple to make and combines light golden puff pastry, soft juicy apples and delicious caramel.","“Light, golden puff pastry with soft juicy fruit and crisp caramel is a great combination! ”",6,50 minutes plus cooling,Not too tricky,fruit-recipes,,137
Wild strawberries and vanilla cream,A British summer hero,Strawberries and cream are a match made in heaven and this wild strawberries and vanilla cream recipe with sherry vinegar is particularly heavenly!,,4,10 minutes plus maceration time,Super easy,fruit-recipes,,138
Chocolate brownie,"With ice cream, hazelnuts & caramel popcorn","This easy chocolate brownie recipe is an indulgent and delicious treat. A warm chocolate brownie served with ice cream, caramel popcorn and crushed hazelnuts. ","“Who doesn’t love a beautiful, delicious chocolate brownie?  This one is simply made with quality ingredients; no flavouring, no nuts, no fruit – just chocolate, chocolate and more chocolate. The trick is to trust your oven and hold back before slicing for that amazing crisp outside and gooey middle – one very agreeable brownie. Chocolate heaven! ”",10,50 minutes,Not too tricky,chocolate-recipes,,139
Pumpkin pie,My twist on the spicy American classic,This is Jamie Oliver's twist on a classic American pumpkin pie recipe which uses butternut squash instead; still just as delicious but more accessible. ,“I've swapped the pumpkin for butternut squash – much easier to get hold of and just as tasty ”,8,40 minutes,Not too tricky,vegetables-recipes,,140
Chocolate mousse  with prunes,Great party pud!,"Big family do or party coming up? This chocolate mousse with prunes is an amazing sharing pud with layered whisky-soaked prunes, topped with light and airy chocolate mousse. Yum!",“Any leftover prune mixture will keep in an airtight container for up to a month – try it with rice pudding!  ”,12  to 14,2 hours 30 minutes to 3 hours plus overnight soaking,Not too tricky,chocolate-recipes,,141
Rainbow jelly,,"Kids' party or family do coming up? This rainbow jelly is an instant crowd-pleaser on the day. Use whatever jelly you like, or make with vege-gel and flavour it with fresh juices. Bonkers!","“This is worth the time and, as it can be made ahead, it’s an instant crowd-pleaser on the day. Use whatever jelly you like, or make with vege-gel and flavour it with fresh juices.  ”",Makes 1 x 2.2 litre bundt cake mould,1 hour 20 minutes,Not too tricky,fruit-recipes,"Note Vege-gel is a vegetarian alternative to gelatine. Just make according to the packet instructions with your choice of fruit juices for colour and flavour – think beetroot for pink, carrot for orange – or for an opaque layer, use coconut milk.",142
Mojito fruit salad,With a good splash of rum,This very delicious Mojito Fruit Salad is nice and sweet with mango and pineapple; use the ripest fruit you can find and make sure you're not driving home!,"“With lovely cocktail flavours and a bit of booze, this fruit salad is definitely for the grown-ups  ”",6,15 minutes,Super easy,fruit-recipes,,143
"Winter ginger, pear and almond cake",,"This elegant upside-down cake, with a base of ginger-poached pears, is spicy, sweet and satisfying. And because this uses ground almonds instead of flour, it’s gluten-free, too – bonus!","“This flourless upside-down cake, with a base of ginger-poached pears, is spicy, sweet and satisfying. And because this uses ground almonds instead of flour, it’s suitable for gluten-intolerant friends and family members.  ”",16,,Not too tricky,fruit-recipes,,144
Old-fashioned sweet shortcrust pastry,For making the perfect pie,"A good shortcrust pastry recipe is a must-have for any budding baker. Jamie Oliver’s old fashioned sweet shortcrust pastry is perfect for loads of lovely recipes, from apple pie to tarte au citron!",“Master this buttery shortcrust pastry recipe and you're halfway to a blinding homemade pie ”,8,15 minutes plus chilling time,Super easy,eggs-recipes,,145
Dairy-free banana loaf,The perfect afternoon treat,Whether you call it bread or a loaf Jamie's dairy free banana bread recipe is an all around crowd pleaser; irresistibly moreish and super easy to make!,“An unbelievably moreish banana loaf that’s super-easy to make. ”,12,1 hour 10 minutes,Super easy,fruit-recipes,,146
Christmas pudding,"Dried fruit, pecans, ginger, rosemary, Bourbon & golden syrup","No Christmas dinner would be complete without a Christmas pudding recipe, and this Jamie Oliver classic is a real beauty. Filled with dried fruit and nuts.","“This is based on my dear Nan’s beautiful pudding recipe, which gives you a much lighter result than a traditional Christmas pud. It has more dynamic flavours, and is super-easy to make – this is exactly the way I like it best. Enjoy! ”",8,4 hours 30 minutes,Not too tricky,fruit-recipes,"LOVE YOUR LEFTOVERSCold leftovers are delicious with a slice of British cheese, such as Lancashire, or in a Christmas sundae.",147
Peaches & cream pie,,"Peaches and cream are a classic combination, but have you ever tried a peaches and cream pie? This pie recipe is really easy, and showcases beautiful peaches, so try and make it when they’re in season.",“The combination of peaches and cream make this more luxurious than your average fruit pie. ”,12,1 hour 25 minutes plus chilling,Not too tricky,fruit-recipes,,148
Chocolate cannoli,Crunchy pasta tubes stuffed with silky chocolate grappa ricotta,"Cannoli is a famous Italian dessert – crunchy fried dough with a chocolaty ricotta filling, all topped off with chocolate sauce. It's seriously indulgent, but seriously good!","“Cannoli are fantastic. Traditionally they’re bigger than mine and contain chunks of candied fruit, nuts and chocolate, but I wanted to go a bit more delicate, and ricotta is the filling hero here. It is helpful to buy some metal cannoli tubes, which you can get online – just squeeze them to 2cm in diameter before use. ”",24,1 hour 30 minutes plus resting,Not too tricky,chocolate-recipes,,149
Pukka pineapple with bashed-up mint sugar,A gorgeously fruity mix,This pineapple dessert is really simple but the addition of bashed-up mint sugar makes it really pukka; the kids will love it too!,"“It's so simple, but the pineapple mint combo just tastes incredible! Kids'll love this one too ”",4,20 minutes,Super easy,fruit-recipes,,150
Walnut & banana loaf,Naughty chocolate orange butter spread,,"“If you can, try and use slightly overripe bananas for this banana loaf recipe as they’ll give you a treacly, caramelly intensity that works so well. The chocolate butter is painfully enjoyable, but my nutritionist, Laura, has requested that I suggest just having a smidgen with a slice of the loaf, so I'm sure you'll all respect her wishes when tucking into this delight. ”",16 with loads of leftover butter,1 hour 20 minutes,Not too tricky,fruit-recipes,,151
Coconut pancakes with pomegranate jewels,With a dollop of yoghurt & zingy citrus,Jamie's Coconut Pancakes recipe with pomegranate jewels is a delicious and exotic pancake recipe – the perfect dessert for a summer's evening!,"“I'm loving the exotic flavours in this pancake recipe, with creamy coconut and fresh fruit. ”",6 pancakes,20 minutes,Not too tricky,fruit-recipes,,152
Cherry chocolate mousse,"Dark, creamy & drizzled with syrup",,,6,30 minutes,Not too tricky,chocolate-recipes,,153
Sticky toffee pudding,With loads of lovely sauce,You will love Jamie's sticky toffee pudding recipe with fresh dates and an amazing rich toffee sauce; and your family will love you for serving it up!,“This sticky toffee pudding recipe with fresh dates is a real treat – you just can't beat it  ”,8,45 minutes,Super easy,fruit-recipes,,154
Vegan toffee apple upside-down cake,"Mixed spice, lemon & walnuts",What a treat – this vegan upside-down cake recipe topped with apples and toffee sauce is wonderfully sticky and delicious. Perfect for afternoon tea!,"“Sticky-sweet and topped with lightly spiced apples, this makes the perfect afternoon tea treat! ”",9,50 minutes,Not too tricky,fruit-recipes,,155
Crumbliest scones,A traditional tasty teatime treat,"This is the best fruit scone recipe if you want to learn how to make scones from scratch. From Jamie Oliver's book, Jamie's Great Britain. Just add jam!","“Scones are wonderfully British, delicious, and so simple even a five-year-old could make them. There’s a magic hour just after they come out of the oven when they are so heavenly I just can't imagine why anyone would prefer store-bought scones. Just remember that the less you touch the dough, the shorter and crumblier your scones will be. Get baking! ”",16 to 20,35 minutes,Super easy,fruit-recipes,"If you don’t want to bake a whole batch, freeze the scones after you’ve cut them out. That way, another day you can just pop the little rounds of frozen dough into the oven and cook them at 180°C/350°F/gas 4 for 25 minutes, or until golden and lovely.",156
Figs in honey,Perfect for a simple winter gift,Fig recipes work really well at Christmas time and Jamie's baked figs with honey make a great homemade gift when popped in jar.,“There's something so wonderful about the fig and honey combo – try it on a festive cheeseboard ”,12,4 hours 5 minutes,Super easy,fruit-recipes,,157
Almond pastry puff,With homemade frangipane,Need a quick and easy pudding idea using just five ingredients? Try this frangipane filled golden-pastry delight from Jamie Oliver – as seen on Quick & Easy Food.,,6,28 minutes,Not too tricky,egg-recipes,,158
Cherry brownies,,"Create and enjoy these delightful cherry brownies from Jamie Oliver, a super easy recipe that make the perfect treats for Easter or Father's day.",,16,20 minutes,Super easy,chocolate-recipes,,159
Winter bombe,"Chocolate, cherries, Vin Santo, panettone & pistachios","Think of this winter bombe recipe from Jamie Oliver’s Christmas Cookbook as an alternative chocolate Christmas pudding, stuffed with fruit and ice cream.","“Get-ahead puddings are great. I make this frozen classic every year without fail. It looks amazing, is crazy delicious, and is a clever assembly job. It’s a sort of cross between a summer pud and an Arctic roll, and it’s sure to wow. ”",12,20 minutes plus freezing,Super easy,fruit-recipes,,160
Best tiramisù,"A classic Venetian dessert with coffee, cream and a lovely light sponge","This is the best tiramisu recipe you'll lfind outside of Italy. From Jamie's book, Jamie Does, it talks you through how to make the perfect tiramisu. Yum!","“This tiramisù recipe is simple but totally indulgent, especially with all-important extra chocolate! ”",14,30 minutes plus chilling time,Not too tricky,chocolate-recipes,,161
Panforte,"Nuts, candied peel & figs","This classic Italian traybake is so easy to make and, with festive flavours of nuts, figs, sherry, cardamom and cloves, it's ideal for homemade Christmas gifts. It's dairy-free, too.","“This traditional Italian cake originates in the Tuscan city of Siena. It keeps quite well, so seal one in a nice tin as a present for a friend.  ”",20 slices,1 hour plus cooling,Not too tricky,uncategorised-recipes,,162
"Strawberries with yoghurt, Prosecco and shortbread",A summer party hit,"This strawberry dessert recipe is simple yet effective, with prosecco, crushed shortbread biscuits and a big dollop of yoghurt!","“A brilliant dinner party idea – the combo of textures rocks, and who doesn't love strawberries! ”",6,15 minutes,Super easy,fruit-recipes,,163
Citrus-poached pears,,"Treat a loved one to these delightful citrus poached pears, the perfect dessert recipe for valentines day that will truly impress your date .","“This is the perfect Valentine's day dessert as it's straightforward to make, but has real wow-factor. ”",2,20 minutes,Super easy,fruit-recipes,,164
Maple crepe cake with caramelised pancetta,,Create this ridiculously tasty maple crepe cake that has been topped with caramelised pancetta and reserved pecans and impress friends and family alike.,,10,1 hour plus chilling,Showing off,eggs-recipes,,165
Caramelised strawberry dipping kebabs,,"Fruit kebabs are great for parties, so try Jamie's Caramelised Strawberry Dipping Kebabs recipe - the strawberry equivalent to the toffee apple!",,6,30 minutes plus setting time,Not too tricky,fruit-recipes,,166
Nan's peach clafoutis,A comforting French pudding,"This peach clafoutis recipe is a real winner; easy to whip up, gorgeous and delicious with tinned peaches and ingredients straight from your cupboard! ","“Classic clafoutis is made with cherries, but I love this store cupboard version with tinned peaches ”",6,40 minutes,Super easy,fruit-recipes,,167
Mint caipirinha fruit salad,One for the grown-ups,"For a fruit salad recipe with an exotic twist try Jamie's Mint Caipirinha Fruit Salad, with papaya, mint and popular Brazilian liqueur, cachaca. ","“This boozy, fresh fruit salad is inspired by the one-and-only Brazilian caipirinha cocktail ”",6,15 minutes,Super easy,fruit-recipes,,168
Salted caramel brownies,,,,16,55 minutes plus cooling,Not too tricky,chocolate-recipes,,169
Summer pudding,"Mixed berries, bread & jam",Looking for a dairy-free pud that everyone will love? Try our delicious twist on the classic summer pudding – it's so good. Plus you don't even need to put the oven on – perfect! ,"“We’ve spread the bread with a little jam to stop it getting too soggy, but this isn’t traditional. ”",8,20 minutes plus chilling overnight,Super easy,fruit-recipes,,170
Gluten-free pumpkin pie,A Thanksgiving show stopper,This gluten free pumpkin pie is Jamie's twist on the classic; a lightly spiced pumpkin filling and a golden crust makes one delicious gluten free pumpkin pie.,“This gluten-free pumpkin pie is my twist on the classic American dessert – lightly spiced and totally delicious ”,12,2 hours 45 minutes,Showing off,vegetables-recipes,,171
Louis' royal rhubarb & custard cake,"Victoria sponge, fruity jam & silky buttercream","This cake is a celebration for the royal baby – HRH Louis Arthur Charles! Jamie Oliver's Victoria sponge recipe is layered with rhubarb and custard fillings, and a rich buttercream icing. It's fit for a prince!","“Here is a beautiful celebration cake to welcome the newest addition to the royal family – HRH Louis Arthur Charles! This is a real showstopper, as you might expect – rhubarb and custard is a classic combination, and always makes me think of afternoon tea. So, put the kettle on, and dig in! ”",18,2 hours plus cooling,Not too tricky,fruit-recipes,,172
