name,desc,rating,made-it,reviews,photos,time,servings,cals,id
Coffee Liqueur Ice Cream Pie,"""This recipe combines the flavors of coffee and chocolate into an ice cream pie. For something different, try using coffee or chocolate chip ice cream in place of vanilla.""","{'value': '4.36', 'count': '10'}",19,10,3,"['PT1H30M', 'PT2H']",8,454,762
Dirt Cake III,"""An irresistible dessert with a chocolate cookie crust and a light creamy filling. Perfect for parties. This can also be prepared in a flower pot with gummy worms added. Great for children's parties.""","{'value': '4.65', 'count': '44'}",72,44,16,"['PT15M', 'PT15M']",24,250,763
"Gluten-Free Chocolate, Seed, and Nut Cookies","""Healthier chewy chocolate cookie.""","{'value': '0.00', 'count': '0'}",1,0,0,"['PT15M', 'PT8M', 'PT23M']",12,233,764
Italian Creme Layer Cake,"""Make this recipe for a delicious and moist Italian creme layer cake topped with coconut and pecans for a delicious and elegant dessert.""","{'value': '4.59', 'count': '193'}",344,193,51,"['PT30M', 'PT30M', 'PT1H30M']",12,925,765
Buttermilk Mango-Berry Crumb Cake,"""I came up with this recipe as I was trying to find a way to use up some buttermilk, mango and raspberries I didn't want to go to waste! Feel free to substitute other fruits such as blueberries, peaches, apples or strawberries.  No fruit on hand? This is just as delicious without!""","{'value': '4.10', 'count': '90'}",126,90,34,"['PT25M', 'PT50M', 'PT1H45M']",12,325,766
Shahi Tukray (Indian Bread Pudding),"""A rich and creamy Indian dessert. Garnish with sliced almonds or pistachios. Serve warm, at room temperature, or put in the fridge overnight.""","{'value': '5.00', 'count': '2'}",2,2,1,"['PT15M', 'PT1H31M', 'PT1H46M']",8,707,767
White Chocolate Key Lime Cake,"""This is a delicious cake that will surely be a hit with all your family and friends!""","{'value': '0.00', 'count': '0'}",0,0,2,"['PT15M', 'PT45M', 'PT1H30M']",12,477,768
Blueberries n' Cheese Squares,"""A delicious and creamy no-bake blueberry dessert. It's easy to make and has a beautiful presentation.""","{'value': '4.44', 'count': '51'}",65,51,3,"['PT30M', 'PT30M']",15,296,769
Awesome Pina Colada Cake,"""No fake cake mix here. It's the real stuff and it tastes sinful.""","{'value': '0.00', 'count': '0'}",4,0,1,"['PT20M', 'PT35M', 'PT55M']",12,406,770
Ga Ga Clusters,"""Kids will really love these peanut chocolate candies.""","{'value': '4.37', 'count': '59'}",60,59,2,"['PT5M', 'PT5M', 'PT2H10M']",12,500,771
Elisa's Famous Fudge,"""This is a recipe my family loves! it is simple and does NOT require a candy thermometer like most fudges. It's pretty simple and does not take an expert to make it; because of this many people make variations to this recipe!! You can use any kind of chips and/or nuts. I hope you enjoy my recipe!""","{'value': '4.24', 'count': '43'}",90,43,5,"['PT20M', 'PT10M', 'PT2H30M']",48,82,772
Beacon Hill Cookies,"""From my great-grandmother's recipe file.""","{'value': '4.23', 'count': '13'}",13,13,1,[],18,103,773
Applesauce Walnut Bars,"""Very moist and chewy!""","{'value': '4.17', 'count': '4'}",6,4,1,"['PT15M', 'PT25M', 'PT40M']",48,67,774
Gluten-Free Peanut Butter Cookies,"""This recipe is gluten-free and delicious!  Pecans are great in these, but feel free to use peanuts or any other nut you choose.""","{'value': '4.53', 'count': '252'}",454,252,34,"['PT30M', 'PT12M', 'PT52M']",15,513,775
Blender Chocolate Mousse II,"""Very rich and chocolaty mousse made in a blender. Garnish with whipped cream. This recipe contains raw eggs. We recommend that pregnant women, young children, the elderly and the infirm do not consume raw eggs.""","{'value': '3.56', 'count': '17'}",20,17,1,"['PT15M', 'PT2M', 'PT20M']",8,317,776
Chocolate Dipped Bing Cherries,"""Fresh sweet Bing cherries, infused with vanilla and dipped in dark chocolate. Best if eaten fresh but can be frozen for weeks in a covered tin.""","{'value': '4.18', 'count': '10'}",10,10,3,"['PT2H', 'PT2H']",24,85,777
Vanilla Ice Cream V,"""No-cook, no eggs, made with half-and-half and cream. Great, simple, classic vanilla ice cream! This is designed for an old-fashioned ice cream maker that yields 1 gallon; be sure to scale recipe down if you have a countertop model.""","{'value': '4.44', 'count': '336'}",628,336,43,"['PT10M', 'PT55M']",32,142,778
Dad's Potato Candy,"""This is a candy recipe my dad has been making since I could remember. I always thought he was just making stuff up when he made it. It's a very sweet and easy-to-make treat.""","{'value': '5.00', 'count': '3'}",12,3,0,"['PT20M', 'PT30M', 'PT1H50M']",24,192,779
Marble Cake I,"""A good practical cake, one that I make quite often.""","{'value': '3.66', 'count': '186'}",478,186,34,"['PT20M', 'PT35M', 'PT55M']",10,280,780
Baked Indian Pudding With Maple Syrup,"""Delicious baked pudding with maple syrup. Great for that Thanksgiving or Easter feast. Served warm, but also great cold. Great with ice cream or light cream on top.""","{'value': '4.78', 'count': '8'}",17,8,1,"['PT15M', 'PT2H20M', 'PT3H5M']",8,260,781
Turon (Caramelized Banana Triangles),"""This simplified banana filling is a favorite Filipino treat. It is also known as turon, using burro bananas cut lengthwise (instead of my sliced version), sprinkled with brown sugar, then rolled like an egg roll. I decided to fold this in a cute triangle shape inspired by my favorite Vietnamese sandwich shop. Drizzle with chocolate or caramel for a prettier presentation.""","{'value': '0.00', 'count': '0'}",0,0,1,"['PT30M', 'PT15M', 'PT45M']",15,67,782
Best Cranberry Salad,"""This recipe is what I've looked forward to on the holidays since I was a little girl. It is my Meamaw's recipe, and it is great for Christmas and Thanksgiving.""","{'value': '4.69', 'count': '11'}",10,11,1,"['PT15M', 'PT45M']",7,340,783
Easy Bake Oven Cake Mix,"""Easy Bake Oven cake mix recipe""","{'value': '4.00', 'count': '9'}",14,9,3,"['PT15M', 'PT15M', 'PT30M']",10,206,784
Hedgehog Cookies,"""I needed something else to decorate a tree trunk cake, so baby hedgehogs seemed to be the perfect match.""","{'value': '4.34', 'count': '26'}",95,26,21,"['PT1H', 'PT10M', 'PT3H10M']",24,280,785
Fast and Easy Low-Guilt Cake,"""Like it says -- a fast and easy cake you won't feel guilty about eating. You can serve with whipped topping and fresh fruit for a special treat.""","{'value': '3.60', 'count': '3'}",5,3,0,[],14,164,786
Snowballs II,"""These are technically Mexican Wedding Cakes or Russian Teacakes, but my grandmother gave up on us calling them that years ago!""","{'value': '4.76', 'count': '376'}",1k,376,67,"['PT30M', 'PT15M', 'PT45M']",30,135,787
Coconut Macaroons German Style,"""Kokosmakronen, the German style macaroon. These are more of a meringue cookie. A must for the Holidays.""","{'value': '4.22', 'count': '66'}",84,66,4,"['PT20M', 'PT20M']",36,49,788
Bittersweet Chocolate Mousse Brownies,"""Brownies topped with chocolate mousse and whipped cream.  The height of decadence! Garnish with chocolate covered espresso beans if available.""","{'value': '4.50', 'count': '10'}",13,10,1,[],9,347,789
Peanut Butter Chocolate Chip Cookies II,"""Peanut butter and chocolate chip cookies made with natural peanut butter and kosher salt.""","{'value': '4.22', 'count': '147'}",276,147,25,[],18,225,790
Peanut Butter Cookies VIII,"""Simple cookies made with cake mix.""","{'value': '4.04', 'count': '25'}",30,25,3,"['PT10M', 'PT10M', 'PT25M']",48,81,791
Mexican Chocolate/Salted Caramel Cake in a Mug,"""I had this at friend's house and had to have the recipe! He didn't know where he got it but he knows the date - it was on the receipt he wrote the recipe on. Great when you want just one serving of dessert.""","{'value': '4.33', 'count': '9'}",36,9,4,"['PT10M', 'PT2M', 'PT12M']",1,633,792
Four-Layer Strawberry Cream Cake,"""Since I first made this cake, everyone at work requests it for special occasions and I have even sold some! Keep refrigerated.""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT30M', 'PT15M', 'PT1H15M']",12,646,793
Graham Cookies,"""Use up some old graham crackers at the same time as creating a scrumptious treat!""","{'value': '4.08', 'count': '12'}",12,12,1,"['PT10M', 'PT30M']",24,134,794
Snowball Cake II,"""These little snowballs remind me of wintertime.""","{'value': '4.00', 'count': '2'}",3,2,0,"['PT40M', 'PT45M', 'PT2H55M']",24,308,795
Grilled Pineapple Slices,"""Grilled cinnamon sweet pineapple rings! You can't eat just one ring!""","{'value': '4.41', 'count': '72'}",95,72,7,"['PT10M', 'PT12M', 'PT22M']",8,92,796
Cinnamon and Amaretto Pound Cake,"""This is a great cake to serve at a brunch, alongside a nice hot cup of coffee!""","{'value': '5.00', 'count': '1'}",6,1,2,"['PT15M', 'PT55M', 'PT2H']",10,562,797
Perfect Mississippi Mud Cake,"""This is a delightful, delicious Mississippi mud cake.""","{'value': '4.67', 'count': '6'}",9,6,2,"['PT30M', 'PT25M', 'PT55M']",20,451,798
Festive JELL-O Popcorn Balls,"""These popcorn balls can be any color or combination of flavors and colors--and they're fun to make.""","{'value': '4.64', 'count': '11'}",24,11,6,"['PT15M', 'PT15M']",16,127,799
Baileys Chocolate Mini Cakes,"""Potato chips and pretzels dipped in semisweet chocolate and butterscotch add a savory crunch to these mini cakes made from fudgy chocolate cake mix.""","{'value': '4.64', 'count': '11'}",15,11,14,"['PT20M', 'PT20M', 'PT2H']",12,504,800
Chocolate Chip Cookie Dough Truffles,"""This is an easy recipe for deliciously rich cookie truffles.""","{'value': '4.21', 'count': '16'}",55,16,10,"['PT10M', 'PT1H']",24,261,801
Mini Chocolate Cupcakes with Earl Grey Frosting,"""Chocolate cupcakes with a marshmallow-like Earl Grey frosting.""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT20M', 'PT20M', 'PT1H']",48,98,802
Apple Cake and Butter Sauce,"""This recipe for a cake made with fresh apples makes great brunch dish served with a creamy butter sauce.""","{'value': '4.61', 'count': '80'}",97,80,1,[],10,403,803
Easy Ricotta Tiramisu,"""This recipe does not require the traditional marscapone cheese, which can be both expensive and difficult to find.  Actual preparation time is short, but as it must 'age' for at least 10 to 12 hours, this is a dessert best prepared a day ahead of time. Dust with unsweetened cocoa powder.""","{'value': '4.00', 'count': '1'}",1,1,3,"['PT30M', 'PT10H30M']",10,406,804
Health Nut Oatmeal Cookies,"""These are cookies you won't need to feel guilty about!  This recipe combines oats, hazelnuts, sunflower seeds, flax seeds and wheat germ for a nutty, tasty treat.""","{'value': '4.60', 'count': '29'}",33,29,1,"['PT10M', 'PT10M', 'PT20M']",36,91,805
Potato Candy from Ohio,"""My mom always made this for the holidays when I was a kid in Ohio. You can use left over potatoes from last night's supper or just throw a potato in the microwave for 5 minutes, cool, and add butter and a little salt (no pepper please). The powdered sugar and peanut butter filling goes so well together. The potatoes help the candy hold it's shape and give it substance.""","{'value': '4.45', 'count': '17'}",36,17,4,"['PT20M', 'PT2H50M']",24,287,806
Banny's Southern Cream Cookies,"""These cookies travel and freeze well.""","{'value': '4.58', 'count': '10'}",12,10,1,[],60,128,807
Austrian Peach Cookie,"""Cookie rounds hollowed out and filled with a delicious fruity filling and looks like a miniature peach.""","{'value': '4.00', 'count': '16'}",19,16,8,[],15,411,808
Butter Rum Cream Pie,"""My sister and I were looking for something that would remind us of the butter rum candies we both enjoy. Garnish this pie with whipped cream and butterscotch topping.""","{'value': '3.67', 'count': '3'}",7,3,1,[],8,295,809
Mrs. Fields Cookie Recipe I,"""Given to me my a friend, who knows a friend, etc........way back in 1987.  The grinding of the oatmeal is critical.  Bake these cookies on the second level from the bottom of the oven.""","{'value': '4.51', 'count': '59'}",87,59,5,[],18,416,810
Purim Hamantaschen with Prune Filling,"""Traditional, sweet hamantaschen for the Jewish holiday of Purim. If you don't have enough prune filling, use raspberry jam, apricot preserves or a chocolate-hazelnut spread (such as Nutella®).""","{'value': '4.00', 'count': '1'}",2,1,1,"['PT25M', 'PT33M', 'PT58M']",50,95,811
Coconut Macaroons,"""So easy to make, and so versatile - you'll want to try all the variations included with this recipe!""","{'value': '3.93', 'count': '199'}",284,199,38,"['PT10M', 'PT17M', 'PT27M']",48,76,812
Overnight Delight White Coffee Ice Cream,"""The use of whole beans creates an almost-white coffee ice cream, with all the robust flavor of freshly brewed coffee.  The oil from the beans seeps into the cream and the result is almost like a 'coffee cream tea' that turns into smooth, rich ice cream. Serve this ice cream in cold-brewed coffee for a delicious coffee-coffee float on hot days.""","{'value': '5.00', 'count': '4'}",11,4,3,"['PT15M', 'PT10M', 'PT9H25M']",8,332,813
Snickerdoodles I,"""This is a wonderful and easy cookie that my mother prepared for at least 50 years.  Every time I take them somewhere everyone wants the recipe.""","{'value': '4.69', 'count': '737'}",1k,737,138,"['PT15M', 'PT10M', 'PT30M']",36,125,814
Coconut Raisin Cookies,"""Velvety shortbread cookies with coconut and raisins. Pecans also taste great in these cookies.""","{'value': '3.80', 'count': '4'}",5,4,2,"['PT10M', 'PT10M', 'PT30M']",24,194,815
Chocolate Chip Apple Cake,"""Apples add moistness to the spicy chocolate batter and chocolate chips further enhance the chocolate flavor.""","{'value': '4.56', 'count': '66'}",95,66,7,[],14,396,816
Bellyful of Barbecued Bananas,"""Throw some of those bananas on the barbi! A scrumptious dessert that will make your tastebuds jump for joy! Try pouring a drop of your favorite liquor over the bananas and ice cream just before serving.""","{'value': '4.44', 'count': '70'}",90,70,5,"['PT15M', 'PT6M', 'PT21M']",4,449,817
Toffee Nut Cookies,"""Quick and easy, this cookie recipe is a hit for potluck lunches, cookie exchanges or just to have on hand when company comes.""","{'value': '4.50', 'count': '9'}",14,9,4,[],24,210,818
Christmas Stollen,"""I got this recipe while I was head baker at London's Dorchester Hotel. It's packed with dried fruit and filled with a marzipan surprise.""","{'value': '4.40', 'count': '81'}",119,81,22,"['PT30M', 'PT50M', 'PT3H']",15,178,819
Pumpkin Swirl Brownies,"""I wanted to make some kind of sweet pumpkin dessert, so I went searching online and found several different pumpkin-chocolate combinations. I decided on pumpkin swirl brownies--I had never had that combination before, and it turns out it's delicious. These brownies are very dense and rich and sweet, so be warned.""","{'value': '0.00', 'count': '0'}",0,0,2,"['PT30M', 'PT50M', 'PT1H20M']",24,266,820
Sour Cream Pudding Pie,"""Easy, creamy, and satisfying. There is NO baking to this. Blueberry pie filling may be substituted for the cherry.""","{'value': '4.10', 'count': '10'}",15,10,0,[],8,385,821
Treacle Tart II,"""This classic English Treacle Tart is sweet and delicious with a hint of ginger and lemon. Topped with unsweetened whipped cream, this lovely tart is perfect for a Sunday brunch or dessert on any occasion. Most of you will remember Treacle Tart from the popular book series, Harry Potter. You can also serve treacle tart with clotted cream or vanilla ice cream! The treacle is so sweet that you want to serve it with something not so sweet, so that the flavors balance.""","{'value': '3.00', 'count': '0'}",0,0,0,"['PT20M', 'PT20M', 'PT40M']",8,328,822
Picnic Sticks,"""This will remind you of the fun picnic days. Substitute the mini white chocolate chips with your favorite candies, such as sprinkles, mini candy-coated chocolates, etc.""","{'value': '4.00', 'count': '1'}",1,1,1,"['PT15M', 'PT15M']",18,83,823
Pecan Pie Bars I,"""These pecan pie bars are great for the children and adults in any family.""","{'value': '4.67', 'count': '459'}",856,459,48,"['PT20M', 'PT45M', 'PT1H5M']",36,233,824
T.V. Cobbler,"""This is everything unhealthy about a great tasting dessert. We still love it.""","{'value': '4.80', 'count': '13'}",49,13,5,"['PT15M', 'PT30M', 'PT45M']",6,301,825
Cinnamon Nutella® No-Bake Cookies,"""Easy no-bake cookies with cinnamon and Nutella® flavors for an elegant-tasting cookie!""","{'value': '4.70', 'count': '8'}",19,8,9,"['PT10M', 'PT5M', 'PT15M']",36,152,826
Hummingbird Cake I,"""This is a strange name for a cake, but it is very good.""","{'value': '4.54', 'count': '80'}",123,80,9,[],14,481,827
Maraschino Cherry Pound Cake,"""A wonderful pound cake full of maraschino cherries and a creamy cherry and cream cheese icing.""","{'value': '4.21', 'count': '16'}",33,16,1,[],14,672,828
Italian Pistachio Gelato,"""You can easily make real Italian gelato at home, which is just a great dessert especially in summer. Pistachios are my favorite nuts because they have such an intense flavor. If you can, use Sicilian Bronte pistachios, but pistachio paste also works great if you can get your hands on some. Don't worry if you do not have an ice cream maker - I've included a few tips for making gelato without one. Top with chopped pistachios and grated chocolate.""","{'value': '0.00', 'count': '0'}",0,0,1,"['PT20M', 'PT2M', 'PT5H22M']",4,420,829
Chocolate Caramel Nut Cake,"""Easy-to-make chocolate cake with a gooey caramel center--almost like a candy bar.""","{'value': '4.63', 'count': '58'}",98,58,1,[],24,266,830
Strawberry Cake and Frosting I,"""If you love the beautiful flavor, aroma and color of strawberries, you will absolutely love this cake.""","{'value': '4.45', 'count': '154'}",241,154,39,"['PT30M', 'PT30M', 'PT1H']",12,626,831
Autumn Pumpkin Coffee Cake,"""A great spiced cake with caramelized brown sugar on top, this coffee-house style treat is perfect for the cooler months during which fresh pumpkin is in season.""","{'value': '2.90', 'count': '10'}",15,10,2,"['PT20M', 'PT20M', 'PT40M']",9,276,832
BaumKuchen,"""A true Swiss Baumkuchen is almost impossible to make at home.  It requires a rotating spit, and almost a gallon of batter, and loads of time.  This is a smaller version, although it too takes time.  The results taste a little like a Kit-Kat bar. The many layers will remind you of the famous Dobostorte.""","{'value': '4.78', 'count': '7'}",13,7,2,"['PT30M', 'PT40M', 'PT1H30M']",12,462,833
Eclair Cake,"""This is a very quick and simple no bake dessert cake. It uses graham crackers and a pudding mixture. It tastes just like an eclair, but there is enough for a crowd!! It is a great recipe for children who are learning to cook, there is no baking involved or any power kitchen tools. Just a bowl and a spoon!""","{'value': '4.73', 'count': '878'}",1k,878,43,"['PT25M', 'PT4H25M']",14,395,834
Guinness® Chocolate Cake with Irish Cream Frosting,"""Super yummy cake that even a non-drinker will enjoy! For St. Patrick's Day or any other day that you want!""","{'value': '4.63', 'count': '8'}",19,8,3,"['PT20M', 'PT50M', 'PT1H40M']",10,674,835
Chocolate Bombs,"""I learnt how to make this recipe in Sweden. It tastes great even if it's totally high fat! I don't really know how many of these balls the recipe yields because everybody was eating the dough before the balls were made!!! Perfect for a skiing break with hot coffee or tea.""","{'value': '4.50', 'count': '21'}",35,21,4,"['PT20M', 'PT1H20M']",24,86,836
Honeyed Apple Cake,"""A lovely cake with chunks of apples flavored with honey, coffee and grated lemon rind.""","{'value': '3.75', 'count': '1'}",4,1,1,[],14,340,837
Ginger-Touched Oatmeal Peanut Butter Cookies,"""I based this recipe on Michele's Oatmeal Peanut Butter Cookies II, and had a WOW! moment when I added the ginger.""","{'value': '4.55', 'count': '28'}",38,28,3,[],12,509,838
Mamon (Sponge Cakes),"""These sweet and soft mini cakes are usually baked in small molds and served during snack time. Use muffin tins if you don't have the molds.""","{'value': '4.82', 'count': '24'}",53,24,10,"['PT45M', 'PT40M', 'PT2H5M']",16,243,839
Gluten-Free and Dairy-Free Vanilla Banana Pops,"""A gluten- and dairy-free vanilla or chocolate banana pop. Perfect for the summer, these pops are incredibly easy to make and use only 3 to 4 ingredients. Experiment with different fruits such as peaches, strawberries, blueberries or a combination of your choice. Your kids will love these, as will you! Enjoy!""","{'value': '3.60', 'count': '3'}",4,3,1,"['PT10M', 'PT8H10M']",6,67,840
Sarah Bernhardts,"""I have many recipes in my files. This one was given to me at a cookie exchange. It is quite long, but worth the effort.  If you'd rather, you can substitute rum extract for the rum.""","{'value': '3.67', 'count': '3'}",3,3,0,[],30,161,841
Calypso Pine-Lime Cookies,"""You can really taste the Caribbean with these soft, delicious cookies. Very flavoursome, and the cookies stay soft. My own recipe.""","{'value': '3.00', 'count': '1'}",1,1,0,"['PT20M', 'PT15M', 'PT35M']",15,175,842
Peanut Butter Banana Ice Cream,"""This is about as easy and fresh as you can get. You are only limited by your imagination. Nuts, chocolate, marshmallows, or whatever else you desire in an ice cream can be added.""","{'value': '4.86', 'count': '5'}",15,5,3,"['PT5M', 'PT8H5M']",4,200,843
Jesse's Toffee Bars,"""Rich, buttery cookie that tastes like a Heath Bar.""","{'value': '4.24', 'count': '13'}",23,13,1,[],12,506,844
Healthier Simple White Cake,"""This simple, great tasting cake is made healthier with whole wheat pastry flour and less sugar. Kids love making cupcakes with this recipe--and you'll feel better about them eating this healthier version. Tip: Instead of frosting, try dusting with confectioners sugar before serving!""","{'value': '4.21', 'count': '22'}",48,22,6,"['PT20M', 'PT30M', 'PT50M']",12,179,845
Kim's Chocolate Fudge Cake,"""A decadent, but easy, chocolate cake with pudding, coffee liqueur and chocolate chips. Delicious! Frost with your favorite chocolate frosting.""","{'value': '4.37', 'count': '26'}",30,26,2,"['PT15M', 'PT1H', 'PT1H15M']",14,430,846
Zube's Matcha Fro-Yo,"""Airy and creamy matcha frozen yogurt.""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT30M', 'PT12H50M']",4,307,847
Cake Mix Cookies V,"""These cookies are easy to make, and so delicious. Oatmeal and walnuts add to the chewy texture.""","{'value': '4.33', 'count': '69'}",83,69,5,"['PT15M', 'PT10M', 'PT45M']",36,105,848
Banana Split Brownie Pizza,"""A wonderful dessert. I never thought this would taste as good as it does. It is one of my most favorite desserts ever.""","{'value': '0.00', 'count': '0'}",1,0,0,"['PT25M', 'PT15M', 'PT55M']",12,434,849
Lemon Pound Cake Cookies,"""I was trying to make lemon cookies, but ended up making something totally different and I was glad with the outcome.""","{'value': '4.63', 'count': '42'}",127,42,16,"['PT15M', 'PT10M', 'PT25M']",14,196,850
Chocolate Cream Filled Cookies,"""My girlfriends at work just loved them and wanted the recipe for them.  I had to make 10 copies!""","{'value': '2.33', 'count': '3'}",3,3,1,"['PT35M', 'PT20M', 'PT55M']",30,114,851
Rocky Road Candies,"""It couldn't be easier to make this treat.  Just melt chocolate chips and stir in peanuts and marshmallows.""","{'value': '4.53', 'count': '100'}",194,100,18,"['PT5M', 'PT5M', 'PT2H10M']",24,284,852
Lemon-Blueberry Cheesecake Cookies,"""After my recipe for Incredible Raspberry Cheesecake Cookies was published, I decided to purchase other flavored tidbits from the company that got me started on my newest cookie venture. This is a delightful spin-off.""","{'value': '0.00', 'count': '0'}",0,0,1,"['PT15M', 'PT10M', 'PT25M']",18,220,853
Apple Spice Cake,"""Very moist spicy sweet cake with chunks of tender apples and raisins.""","{'value': '4.63', 'count': '250'}",412,250,35,[],14,357,854
Butterscotch Oatmeal Cookies II,"""A simple, yet delicious butterscotch flavored oatmeal cookie.""","{'value': '3.97', 'count': '27'}",33,27,2,[],30,128,855
Coconut Pound Cake,"""My grandchildren love this recipe for a coconut-flavored pound cake.""","{'value': '4.35', 'count': '55'}",77,55,10,"['PT20M', 'PT1H1M', 'PT1H25M']",14,438,856
Chocolate Oil Cake,"""No butter, just oil in this recipe that delivers a rich, chewy, and chocolate-y cake in about an hour.""","{'value': '4.28', 'count': '301'}",422,301,33,[],24,207,857
Lemon Pretzel Salad with Mango and Kiwi,"""Refreshingly satisfying! Fresh lemon, mango, and kiwi are fused with fluffy cool cream cheese, all sitting atop a yummy salty sweet pretzel crust...wow, what else can you say?! It always disappears with a quickness. Perfect for BBQs, holidays, pitch-ins, or just a tasty treat with a hot cup of tea. Enjoy!""","{'value': '4.25', 'count': '4'}",11,4,2,"['PT20M', 'PT10M', 'PT4H']",12,423,858
Crystal's Chocolate Chip Pumpkin Cookies,"""These are delicious cake-like chocolate chip-pumpkin cookies just in time for Halloween and Thanksgiving.""","{'value': '4.12', 'count': '51'}",70,51,8,"['PT15M', 'PT18M', 'PT33M']",24,255,859
Amish Sugar Cakes,"""Big, soft, Amish sugar cookies, called sugar 'cakes'.""","{'value': '3.99', 'count': '55'}",79,55,6,"['PT15M', 'PT12M', 'PT30M']",30,186,860
1-2-3 Lemon Icebox Pie,"""A very easy '1, 2, 3' recipe you can whip together in no time with no baking. My grandma taught me how to make this, it is very enjoyable after a spicy dinner, on a hot day, or for those who love a tart and tangy dessert. You can add whipped cream if you like, or even beat sugar into the whites from the above mentioned eggs to make meringue.""","{'value': '4.31', 'count': '15'}",33,15,1,"['PT10M', 'PT6H10M']",8,322,861
Filled Date Cookies,"""An easy, date-filled cookie that's a big hit with my family all year 'round!""","{'value': '4.27', 'count': '13'}",22,13,2,[],30,232,862
Easy Cheesecake Pie,"""This cheesecake recipe is easy, yet delicious.  It usually takes about 5 minutes (10 minutes tops) to mix this up.""","{'value': '4.61', 'count': '24'}",43,24,3,[],8,384,863
Honeydew and Pineapple Pops,"""The pineapple and honeydew pair perfectly! The zing of the pineapple plus the kick from the lemon and salt take these melon pops to a whole new level. There were a big hit at my girls night, and my toddler can't get enough either!""","{'value': '0.00', 'count': '0'}",0,0,0,"['PT15M', 'PT4H15M']",24,15,864
Black Bottom Pie II,"""Chocolate and rum ... ...... yummmm.  Good garnished with whipped cream and shaved chocolate.""","{'value': '5.00', 'count': '1'}",2,1,0,[],8,247,865
Moist German Chocolate Cake,"""I made this for my dad's birthday. I found it to be a lot moister than the usual German chocolate cake.""","{'value': '4.00', 'count': '31'}",43,31,5,[],24,142,866
Brownie Baked Alaska,"""Pistachio and strawberry ice cream top a fudgy brownie base that's frosted with meringue and torched to create this baked Alaska. This concept is said to have emerged when a British physicist known as Count Rumford was experimenting with egg whites during the Revolutionary period and found them to be poor conductors of heat. Make sure to bake the brownie base and layer the ice creams the night before prepping the meringue.""","{'value': '0.00', 'count': '0'}",0,0,2,"['PT45M', 'PT45M', 'PT13H']",16,438,867
Papa's Angel Pie,"""When it comes to family get-togethers, there is one thing Papa will always be remembered for, and that is his famous 'Angel Pie'. This is the first year that the whisk has been passed down, and I hope to one day pass it down to my grandchildren, too. Here's hoping it brings as much love to your table.""","{'value': '5.00', 'count': '2'}",3,2,0,"['PT25M', 'PT30M', 'PT55M']",8,450,868
Apple Slab Pie,"""A good choice if the school or church asks you to bring dessert. Kind of like Dutch apple pie.""","{'value': '4.50', 'count': '96'}",347,96,14,"['PT30M', 'PT1H', 'PT1H30M']",15,405,869
Chocolate-Dipped Strawberry Cupcakes,"""These cupcakes give you that perfect fruity and chocolate flavor! You can either use box mix or your own recipe but in this, I used a box chocolate cake mix! Enjoy!""","{'value': '0.00', 'count': '0'}",0,0,2,"['PT20M', 'PT20M', 'PT1H40M']",24,214,870
Ruby Chocolate Rocky Road,"""The idea of rocky road is pretty much that: piles of rocky goodies all coated and glued together with chocolate that doesn't crack when you bite into it (thanks to coconut oil). So although I have used some fairly gourmet ingredients here, don't feel locked into that. Just go with what you have in the cupboard that you think will go well together!""","{'value': '0.00', 'count': '0'}",0,0,1,"['PT25M', 'PT5M', 'PT1H30M']",20,258,871
Peanut Butter Chip Chocolate Cookies,"""My best friend's mom made these when we were kids. They are the best cookies I have ever eaten, and I have yet to screw up a batch! Warning: you may be tempted to eat the entire recipe!!""","{'value': '4.69', 'count': '521'}",815,521,87,[],12,560,872
Sugar Cream Pie III,"""Quick and easy pie adapted from my church's cookbook.""","{'value': '4.07', 'count': '13'}",15,13,1,"['PT30M', 'PT1H', 'PT1H30M']",8,485,873
PHILADELPHIA Chocolate-Vanilla Swirl Cheesecake,"""Enjoy a serving of this rich and indulgent cheesecake on special occasions.""","{'value': '4.79', 'count': '37'}",78,37,9,"['PT55M', 'PT40M', 'PT5H35M']",24,280,874
Passover Chocolate Chip Cocoa Meringues,"""An easy to make treat that everyone will enjoy for Passover or year round. Sift powdered sugar over meringues and add fresh strawberries to the dish for a lovely presentation. Works best with mini chocolate chips. Using parchment/cooking paper reduces the risk of burning the bottoms (can use foil instead).""","{'value': '4.00', 'count': '6'}",12,6,2,"['PT10M', 'PT40M', 'PT50M']",20,35,875
Nutella® Peanut Butter Pretzel Cookies,"""This is an easy base recipe. Feel free to mix up the flavors! Leave out the peanut butter for any allergies. Instead of Nutella® and pretzels, try white chocolate chips and macadamia nuts.""","{'value': '2.00', 'count': '3'}",3,3,1,"['PT15M', 'PT15M', 'PT35M']",26,239,876
Black Forest Dump Cake I,"""You can vary this dump cake by using apple pie filling and white, golden, or spice cake mix.  Serve with whipped cream or soft ice cream.""","{'value': '4.13', 'count': '34'}",46,34,4,"['PT20M', 'PT1H', 'PT1H20M']",24,198,877
