recipe,part,ingredient
83,For The Filling,200 g icing sugar plus extra for dusting
83,For The Filling,100 g dairy-free margarine
83,For The Filling,100 g fresh raspberries
83,For The Filling,4 tablespoons raspberry jam
84,General,750 g rhubarb trimmed and chopped
84,General,1 large orange juice and zest of
84,General,100 g caster sugar
84,General,1 tablespoon caster sugar
84,General,2 pieces stem ginger finely chopped
84,General,1 vanilla pod halved lengthways
84,General,250 ml natural yoghurt
85,General,260 g cherries plus extra to serve (see tip)
85,General,3 tablespoons kirsch
85,General,150 g sugar plus 2 tablespoons extra
85,General,200 ml milk
85,General,3 tablespoons single cream
85,General,1 lemon
85,General,3 large free-range eggs
85,General,2 free-range egg yolks
85,Caramel,100 g sugar
86,General,400 g sushi rice or Thai sticky rice
86,General,1 x 400 ml tin of coconut milk
86,General,100 g palm sugar or brown sugar
86,General,2 large ripe mangos
87,General,1 kg chopped mixed fruit fresh or frozen
87,General,250 ml fat-free natural yoghurt
87,General,runny honey to taste
87,General,75 ml limoncello optional
87,General,ice-cream cones optional
88,Sauce & Topping,"150 g mixed dried fruit, such as cranberries, sour cherries, blueberries"
88,Sauce & Topping,50 ml vodka
88,Sauce & Topping,6 teaspoons crème fraîche
88,Sauce & Topping,150 g fresh redcurrants
88,Rice Pudding,300g g pudding rice
88,Rice Pudding,1.5 litres semi-skimmed milk
88,Rice Pudding,500 ml single cream
88,Rice Pudding,3 tablespoons runny honey
88,Rice Pudding,1 cinnamon stick
88,Rice Pudding,1 vanilla pod
89,General,5 tablespoons sunflower oil plus extra for greasing
89,General,200 g dairy-free dark chocolate
89,General,170 g self-raising flour
89,General,3 heaped teaspoons cocoa powder
89,General,180 g golden caster sugar
89,General,sea salt
89,General,1 vanilla pod
89,General,230 ml unsweetened organic soya milk
89,General,200 g pecan nuts
90,General,1 x shortcrust pastry recipe
90,Frangipane,350 g blanched whole almonds
90,Frangipane,250 g unsalted butter
90,Frangipane,300 g caster sugar
90,Frangipane,3 large free-range eggs
90,Frangipane,6 tablespoons quality strawberry jam
90,Frangipane,1 handful of blanched flaked almonds
90,Frangipane,500 g crème fraîche or natural yoghurt (optional)
91,General,600 ml semi-skimmed milk
91,General,200 ml double cream
91,General,400 ml single cream
91,General,1 vanilla pod
91,General,4 medium free-range eggs
91,General,170 g caster sugar
91,General,6 hot cross buns sliced in half and spread with a knob of butter
91,General,1 knob butter spread on the hot cross buns
91,General,3 tablespoons Cognac
91,General,1 handful dried apricots chopped
91,General,1 orange zest of
91,General,a little icing sugar
92,General,"500 g raw beetroots preferably organic, scrubbed clean"
92,General,2 thumb-sized pieces fresh ginger finely chopped
92,General,3 large free-range eggs separated
92,General,150 ml honey
92,General,170 ml olive oil
92,General,2 vanilla pods seeds from
92,General,2 heaped teaspoons baking powder
92,General,100 g polenta
92,General,1 orange zest and juice of
92,General,1 good pinch salt
92,General,1 good pinch allspice
92,General,1 good pinch cinnamon
92,General,150 g plain flour
92,General,200 g crème fraîche
92,General,"1 wineglass vin santo, Marsala or sherry"
92,General,2 heaped tablespoons caster sugar
93,General,450 g plain flour
93,General,450 g golden caster sugar
93,General,20 g baking powder
93,General,1 teaspoon salt
93,General,150 g sunflower oil
93,General,"10 large free-range egg whites, plus 8 yolks"
93,General,4 lemons zest of
93,General,200 ml lemon juice (about 8 lemons)
93,General,1 teaspoon cream of tartar
93,Lemon Curd,10 large free-range egg yolks
93,Lemon Curd,300 g golden caster sugar
93,Lemon Curd,200 ml lemon juice (about 8 lemons)
93,Lemon Curd,4 lemons zest of
93,Lemon Curd,50 ml yuzu juice
93,Lemon Curd,"180 g unsalted butter at room temperature, cubed"
93,Lemon Confit,4 lemons
93,Lemon Confit,100 g golden caster sugar
93,Meringue Drops,3 large free-range egg whites (100g)
93,Meringue Drops,200 g white caster sugar
93,Meringue Drops,2 lemons finely grated zest of
93,Tahitian Vanilla Buttercream,3 large free-range egg whites
93,Tahitian Vanilla Buttercream,200 g golden caster sugar
93,Tahitian Vanilla Buttercream,"250 g unsalted butter at room temperature, cubed"
93,Tahitian Vanilla Buttercream,2 teaspoons vanilla extract
94,General,2 tablespoons sesame seeds
94,General,½ a small jar of runny honey (170g)
94,General,1 pear
94,General,1 apple
94,General,6 strawberries
94,General,1 nectarine
94,General,1 banana
94,General,1 orange
94,General,2 sprigs of fresh mint
94,General,natural yoghurt (optional)
94,Equipment List,small frying pan (20cm)
94,Equipment List,measuring spoons
94,Equipment List,small microwave-safe bowl
94,Equipment List,microwave
94,Equipment List,chopping board
94,Equipment List,knife
94,Equipment List,teaspoon
94,Equipment List,box grater
94,Equipment List,plate
94,Equipment List,serving bowls
95,General,50 g apricot jam
95,General,250 g glacé or dried fruits whole or cut into large strips
95,General,pecans
95,General,walnuts
95,General,almonds
95,General,pine nuts
96,General,400 g quality shortbread
96,General,170 g demerara sugar
96,General,3 level teaspoons ground ginger
96,General,40 g mixed peel
96,General,40 g crystallized ginger
96,General,70 g plain flour
96,General,1 pinch of baking powder
96,General,40 g golden syrup
96,General,40 g treacle
96,General,70 g unsalted butter
97,General,120 g risotto or pudding rice
97,General,"800 ml unsweetened almond milk or regular milk, plus an extra splash"
97,General,4 tablespoons maple syrup or runny honey
97,General,"1 teaspoon vanilla paste (or you can scrape out the seeds from a vanilla pod, if you have one)"
97,General,1 handful of blueberries
97,General,1 ripe banana
98,General,"8 ripe peaches halved, stoned and cut into wedges"
98,General,1 vanilla pod halved lengthways and seeds scraped out
98,General,zest of 1 lime
98,General,40 g soft brown sugar
98,General,zest and juice of 1 orange
98,General,2.5 cm fresh ginger peeled and finely grated
98,Cobbler Topping,40 g pine nuts
98,Cobbler Topping,100 g self-raising flour
98,Cobbler Topping,50 g caster sugar
98,Cobbler Topping,100 g unsalted butter chilled
98,Cobbler Topping,icing sugar to serve (optional)
98,Cobbler Topping,good-quality vanilla ice cream to serve
99,General,"100 g skinned hazelnuts plus extra hazelnuts, finely ground, to serve (optional)"
99,General,80 g unsalted butter
99,General,115 g self-raising flour
99,General,115 g ground almonds
99,General,60 g golden caster sugar
99,General,2 large free-range eggs
99,General,3 large free-range egg yolks
99,General,"2 oranges finely grated zest of, plus the juice of 1"
99,General,180 ml full-cream milk
99,General,1 vanilla pod split lengthways
99,General,50 g good-quality dark chocolate (70% cocoa solids) bashed up
100,General,175 g butter (at room temperature) plus extra for greasing
100,General,75 g walnuts plus extra to garnish
100,General,175 g sugar
100,General,3 large free-range eggs
100,General,150 g self-raising flour
100,General,½ teaspoon baking powder
100,General,50 ml cold espresso
100,Coffee Filling,65 g unsalted
100,Coffee Filling,125 g icing sugar
100,Coffee Filling,40 ml strong espresso
100,Coffee Icing,100 g icing sugar
100,Coffee Icing,20 ml strong espresso
101,General,"400 g strawberries hulled and quartered, or wild strawberries left whole"
101,General,1 lemon finely grated zest of
101,General,2 tablespoons caster sugar
101,General,4 sprigs mint
102,General,1 small tub crème fraîche
102,General,1 vanilla pod scored lengthways and seeds scraped out
102,General,1 pineapple
102,General,icing sugar for dusting
102,General,1 handful fresh mint leaves picked and finely sliced
103,General,100 g dairy-free margarine (suitable for baking)
103,General,1 large pinch of ground cinnamon
103,General,1 large pinch of ground ginger
103,General,1 orange zest of
103,General,10 thick slices of quality stale bread
103,General,100 g apricots
103,General,100 g sultanas
103,General,5 tablespoons quality thick-cut marmalade
103,For The Custard,1 vanilla pod
103,For The Custard,800 ml organic soya milk unsweetened
103,For The Custard,5 tablespoons cornflour
103,For The Custard,6 tablespoons golden caster sugar
104,General,juice
105,General,2 tablespoons vanilla sugar or caster sugar
105,General,4 handfuls strawberries stalks removed
105,General,6 plain scones
105,General,1 tub good-quality vanilla ice cream
106,Pastry,150 g plain flour
106,Pastry,40 g cocoa
106,Pastry,25 g icing sugar
106,Pastry,120 g unsalted butter
106,Pastry,1 large free-range egg yolk
106,Filling,300 g caster sugar
106,Filling,60 ml runny honey
106,Filling,300 ml double cream
106,Filling,45 g unsalted butter
106,Nut Brittle,50 g blanched hazelnuts
106,Nut Brittle,100 g caster sugar
106,Spun Sugar,100 g caster sugar
106,Spun Sugar,½ tablespoon glucose syrup
107,General,250 g unsalted butter (at room temperature) plus extra for greasing
107,General,250 g self-raising flour plus extra for dusting
107,General,250 g golden caster sugar
107,General,4 large free-range eggs
107,General,1 orange
107,General,a few drops of rosewater
107,General,4 tablespoons quality raspberry jam
107,General,150 g fresh raspberries
107,General,icing sugar for dusting
107,Crystallized Rose Petals,1 large free-range egg white
107,Crystallized Rose Petals,1 handful of rose petals
107,Crystallized Rose Petals,white caster sugar
107,Vanilla Cream,150 ml Jersey double cream
107,Vanilla Cream,½ a vanilla pod
107,Vanilla Cream,2 teaspoons caster sugar
108,General,1 ripe banana
108,General,"400 g ripe seasonal fruit, such as mangos, plums, pears, blueberries"
108,General,runny honey to taste
108,General,500 g natural yoghurt
108,General,150 g raspberries
109,General,275 g plain flour plus extra for dusting
109,General,2 tablespoons icing sugar
109,General,130 g butter
109,General,3 medium free-range egg yolks
109,General,milk
109,General,caster sugar for sprinkling
109,Plum Filling,50 g flaked almonds
109,Plum Filling,10 plums (1.3kg)
109,Plum Filling,50 g butter
109,Plum Filling,100 g caster sugar
109,Plum Filling,1 teaspoon cinnamon
109,Plum Filling,½ teaspoon ground ginger
109,Plum Filling,3 tablespoons cornflour
110,General,375 g shortcrust pastry
110,General,300 ml double cream
110,General,2 teaspoons caster sugar
110,General,1 pinch of fine sea salt
110,General,50 g unsalted butter (at room temperature)
110,General,200 g dark chocolate (70%)
110,General,50 ml whole milk
110,General,sea salt flakes
110,General,creme fraîche or ice cream
111,General,100 g unsalted butter
111,General,1 teaspoon golden caster sugar
111,General,200 g plain flour
111,General,4 large free-range eggs
111,General,1 x 400 in or jar of dulce de leche (condensed milk caramel)
111,General,300 g golden granulated sugar
111,Optional Chocolate Sauce,100 g dark chocolate (70% solids)
111,Optional Chocolate Sauce,300 ml single cream
112,General,1 old-fashioned sweet shortcrust pastry recipe
112,General,20 g butter plus extra for greasing
112,General,100 g golden caster sugar plus extra for sprinkling
112,General,"2 large Bramley apples cored, peeled and each cut into 16 wedges"
112,General,"4 Cox apples cored, peeled and each cut into 8 wedges"
112,General,1 heaped tablespoon chopped stem ginger in syrup
112,General,150 g blackberries
112,General,1 large free-range egg beaten
112,General,½ teaspoon ground cinnamon
113,General,400 g strawberries
113,General,6 large free-range eggs
113,General,200 g golden caster sugar plus 1 tablespoon extra
113,General,1 tablespoon vanilla extract
113,General,1 lemon
113,General,150 g plain flour
113,General,150 g quality strawberry jam
113,General,3 tablespoons elderflower cordial
113,General,1 vanilla pod
113,General,600 ml double cream
113,General,1 tablespoon icing sugar plus extra for dusting
113,General,7 g freeze-dried strawberries
113,General,3 sprigs of fresh mint
114,General,300 g pack of frozen cranberries
114,General,150 g frozen raspberries
114,General,4 tablespoons caster sugar
114,General,6 tablespoons Drambuie
114,Oatmeal Crunch,"coconut oil or olive oil, for greasing"
114,Oatmeal Crunch,75 g medium oats
114,Oatmeal Crunch,125 g caster sugar
114,Frozen Cream,4 medium free-range egg yolks (at room temperature)
114,Frozen Cream,2 tablespoons caster sugar
114,Frozen Cream,100 g clear wildflower honey
114,Frozen Cream,600 ml double cream
114,Frozen Cream,3 tablespoons Drambuie
115,General,500 g ripe peaches
115,General,150 g caster sugar
115,General,1-2 tablespoons brandy or peach schnapps
115,General,275 ml double cream
116,General,4 pieces of stem ginger
116,General,200 g sultanas
116,General,150 g currants
116,General,60 g mixed peel
116,General,50 g glacé cherries
116,General,1 orange
116,General,100 ml Scotch whisky
116,General,240 g unsalted soft butter
116,General,240 g light brown sugar
116,General,220 g self-raising flour
116,General,4 large free-range eggs
116,General,½ teaspoon mixed spice
116,Filling & Topping,500 g marzipan
116,Filling & Topping,4 tablespoons apricot jam
116,Filling & Topping,1 large free-range egg
117,General,1 vanilla pod
117,General,150 ml double cream
117,General,150 ml single cream
117,General,4 large free-range egg yolks
117,General,2 tablespoons golden caster sugar plus extra for sprinkling
117,General,100 g raspberries
118,General,1 vanilla pod halved lengthways
118,General,1 kg unrefined caster sugar
118,General,olive oil
118,General,1 knob butter
118,General,250 g popcorn kernels
118,General,6 tablespoons spiced sugar
118,General,3 fresh bay leaves
118,General,2 oranges finely grated zest of
118,General,2 lemons finely grated zest of
118,General,6 whole cloves
118,General,½ teaspoon ground cinnamon
118,General,10 gratings whole nutmeg
119,General,3 cardamom pods
119,General,½ a vanilla pod
119,General,75 g caster sugar
119,General,70 g desiccated coconut
119,General,1 large free-range egg white
119,General,1 orange
119,General,4 large plums or any soft stone fruit
120,General,2 stalks of lemongrass
120,General,50 g sugar
120,General,6-8 peaches or 12 apricots
121,General,750 ml bottle of Prosecco
121,General,50 ml lemon juice (from about 2 1/2 lemons)
121,General,9.5 x 15 g leaves of gelatine
121,General,250 ml elderflower cordial
121,General,500 g plums and seasonal berries plums destoned and halved
121,General,4 sprigs of fresh mint plus extra leaves to decorate
121,General,edible flowers to garnish (optional)
121,General,pouring cream to serve
122,General,300 g unsalted butter plus extra for greasing
122,General,300 g gluten-free plain flour plus extra for dusting
122,General,300 g golden caster sugar
122,General,4 large free-range eggs
122,General,1 teaspoon vanilla extract
122,General,1 teaspoon gluten-free baking powder
122,General,¼ teaspoon xanthan gum
122,General,6 tablespoons cocoa powder
122,General,3 tablespoons milk
122,For The Filling,200 g icing sugar
122,For The Filling,4 tablespoons cocoa powder
122,For The Filling,100 g unsalted butter
122,For The Filling,100 g cream cheese
122,For The Filling,70 g fresh raspberries
122,For The Filling,quality dark chocolate (75% cocoa solids) to serve
123,General,5 oranges
123,General,100 g quality dark chocolate (70%)
123,General,80 g unsalted butter
123,General,100 g self-raising flour
123,General,100 g ground almonds
123,General,100 g sugar
123,General,2 large free-range eggs
123,General,3 large free-range egg yolks
123,General,180 ml whole milk
123,General,100 g quality white chocolate
123,General,500 g crème fraîche or natural yoghurt (optional)
124,General,200 g dark dairy-free chocolate
124,General,85 g blanched almonds
124,General,150 g dairy-free margarine
124,General,85 g glacé cherries
124,General,100 g dried cranberries
124,Honeycomb,vegetable oil for greasing
124,Honeycomb,5 tbsp granulated sugar
124,Honeycomb,2 tbsp golden syrup
124,Honeycomb,1/2 tsp bicarbonate of soda
125,General,200 g ready-made madeira sponge
125,General,100 ml sweet sherry
125,General,100 g amaretti biscuits
125,General,300 g brambles
125,General,300 ml double cream
125,Custard,500 ml milk
125,Custard,150 ml double cream
125,Custard,8 large free-range egg yolks
125,Custard,75 g sugar
125,Custard,1 heaped tablespoon cornflour
126,Cake,450 ml rice milk
126,Cake,1 tablespoon cider vinegar
126,Cake,300 g caster sugar
126,Cake,300 g gluten-free self-raising flour
126,Cake,100 g cocoa powder
126,Cake,1 tablespoon gluten-free baking powder
126,Cake,1 teaspoon bicarbonate of soda
126,Cake,¼ teaspoon xanthan gum
126,Cake,1 pinch of salt
126,Cake,160 ml sunflower oil
126,Cake,2 tablespoons vanilla extract
126,Icing,225 g dairy-free sunflower spread
126,Icing,225 g icing sugar
126,Icing,50 g cocoa powder
126,Icing,100 g dairy-free dark chocolate (70% cocoa)
126,To Decorate,dairy-free chocolate buttons or fresh berries
127,General,150 g pecan nuts
127,General,150 g hazelnuts
127,General,400 g icing sugar
127,General,100 g cocoa powder
127,General,½ a teaspoon fine sea salt
127,General,1 tablespoon vanilla paste
127,General,4 large free-range eggs
128,Frangipane,100 g blanched hazelnuts
128,Frangipane,100 g shelled walnuts
128,Frangipane,250 g cold unsalted butter cut into cubes
128,Frangipane,250 g golden caster sugar
128,Frangipane,1 lemon
128,Frangipane,1 orange
128,Frangipane,3 large free-range eggs
128,Frangipane,60 g plain flour
128,Pastry,250 g plain flour plus extra for dusting
128,Pastry,100 g icing sugar
128,Pastry,125 g cold unsalted butter cut into cubes
128,Pastry,1 orange
128,Pastry,1 large free-range egg beaten
128,Pastry,a splash of milk
128,Cranberry Jam,500 g fresh or frozen cranberries
128,Cranberry Jam,150 g golden caster sugar
128,Cranberry Jam,2 oranges
129,General,rice paper
129,General,2 tablespoons glucose syrup
129,General,250 g caster sugar
129,General,150 g clear honey
129,General,150 g shelled pistachio nuts
129,General,1 lemon
129,General,a few sprigs of fresh thyme
129,General,2 large free-range egg whites
130,General,75 g rice flour
130,General,40 g tapioca or gluten-free flour
130,General,40 g chickpea flour
130,General,"70 g unsalted butter chilled, plus extra for greasing"
130,General,1 vanilla pod
130,General,1 lemon or orange
130,General,4 tbsp sugar
130,General,milk for brushing
130,General,icing sugar to serve
130,Fruit Mincemeat,1 banana
130,Fruit Mincemeat,70 ml fresh orange juice
130,Fruit Mincemeat,1 good pinch of grated nutmeg
130,Fruit Mincemeat,1 good pinch of allspice
130,Fruit Mincemeat,1 tsp ground cinnamon
130,Fruit Mincemeat,2 tbsp golden syrup
130,Fruit Mincemeat,170 g raisins
130,Fruit Mincemeat,80 g dried apricots
130,Fruit Mincemeat,80 g dried sour cherries
130,Fruit Mincemeat,80 g dried cranberries
130,Fruit Mincemeat,80 g dried blueberries
130,Fruit Mincemeat,2 tbsp brandy (optional)
131,General,6 large free-range egg whites
131,General,360 g white caster sugar
131,General,quality white chocolate
131,Rhubarb & Strawberry Compote,400 g rhubarb
131,Rhubarb & Strawberry Compote,400 g strawberries
131,Rhubarb & Strawberry Compote,1 vanilla pod
131,Rhubarb & Strawberry Compote,"50 g white caster sugar or more if needed, depending on sweetness of rhubarb"
131,Vanilla Cream,300 ml double cream
131,Vanilla Cream,1 tablespoon white caster sugar
131,Vanilla Cream,1 vanilla pod or ½ teaspoon vanilla extract
132,General,150 ml soya milk
132,General,4 cardamom pods
132,General,4 tablespoons sugar
132,General,1 tablespoon cornflour
132,General,250 g dark vegan chocolate (70%)
132,General,1 teaspoon vanilla extract
132,Pastry,250 g plain flour
132,Pastry,125 g icing sugar
132,Pastry,1 teaspoon ground ginger
132,Pastry,125 g soya margarine (cold) plus extra for greasing
132,Rhubarb,400 g rhubarb
132,Rhubarb,25-40 g sugar
132,Rhubarb,1 splash of ginger cordial
132,Rhubarb,1 orange
133,General,"110 g butter softened, plus extra for greasing"
133,General,100 g caster sugar
133,General,1 large free-range egg
133,General,1 tsp vanilla extract
133,General,150 g flour
133,General,30 g cocoa powder
133,General,icing sugar for dusting
133,Peppermint Meringue Filling,275 g caster sugar
133,Peppermint Meringue Filling,4 large free-range egg whites
133,Peppermint Meringue Filling,½ tsp cream of tartar
133,Peppermint Meringue Filling,a few drops of pure peppermint extract
133,Chocolate Topping,100 g quality dark chocolate (70%)
133,Chocolate Topping,vegetable oil
134,General,750 g ripe plums
134,General,2 sprigs of fresh rosemary
134,General,20 g icing sugar
134,General,500 g all-butter shortcrust pastry
134,General,30 g flaked almonds
134,Frangipane,200 g unsalted butter (at room temperature)
134,Frangipane,200 g golden caster sugar
134,Frangipane,4 large free-range eggs
134,Frangipane,2 oranges
134,Frangipane,2 lemons
134,Frangipane,2 teaspoons almond extract
134,Frangipane,200 g ground almonds
134,Frangipane,40 g plain flour plus extra for dusting
134,Limoncello Icing,75 g icing sugar
134,Limoncello Icing,25 ml limoncello
135,General,1 vanilla pod
135,General,500 g blackberries
135,General,100 g caster sugar
135,General,1 lemon
135,General,330 ml double cream
135,General,200 ml fat-free Greek yoghurt
136,General,100 g walnuts
136,General,1 teaspoon baking powder
136,General,5 large free-range eggs
136,General,125 g caster sugar
136,General,25 g plain flour
136,General,25 g quality cocoa powder
136,General,3 tablespoons marsala or sweet sherry
136,General,160 g dark chocolate (70%)
136,General,180 g icing sugar
136,General,180 g unsalted butter (at room temperature)
136,General,150 ml double cream
136,General,150 ml sweetened chestnut purée
137,General,plain flour for dusting
137,General,500 g puff pastry
137,General,"5 small eating apples approximately 800g, a mixture of sweet and acidic varieties"
137,General,100 g golden caster sugar
137,General,100 ml Calvados
137,General,"1 vanilla pod halved lengthways, seeds scraped out"
137,General,50 g butter cubed
138,General,4 handfuls wild strawberries
138,General,1 tablespoon caster sugar
138,General,1 vanilla pod scored lengthways and seeds scraped out
138,General,1 splash sherry vinegar
138,General,1 pot crème fraîche
138,General,a few small fresh mint leaves
138,General,1 orange zest of
139,General,250 g quality dark chocolate (70%)
139,General,250 g unsalted butter
139,General,4 large free-range eggs
139,General,250 g golden caster sugar
139,General,2 heaped tablespoons self-raising flour
139,General,2 heaped tablespoons quality cocoa powder
140,General,500 g ready-made dessert pastry
140,General,1 large butternut squash quartered and seeds reserved
140,General,¼ teaspoon ground nutmeg
140,General,¼ teaspoon ground ginger
140,General,¼ teaspoon ground cinnamon
140,General,4 tablespoons maple syrup
140,General,6 tablespoons caster sugar
140,General,3 large free-range eggs beaten
140,General,200 ml double cream
141,General,350 g dark chocolate (70%) plus extra to serve
141,General,100 ml double cream
141,General,10 free-range eggs
141,General,50 g golden caster sugar
141,Prunes,500 g dried prunes
141,Prunes,150 ml whisky
141,Prunes,100 ml fresh unsweetened orange juice
142,General,vegetable oil
142,General,4 packets of jelly in different colours or sachets of vege-gel (see tip)
143,General,1 bunch fresh mint leaves picked
143,General,3 limes finely grated zest and juice of
143,General,2 tablespoons light brown sugar
143,General,white rum to taste
143,General,¼ large watermelon peeled and cut into chunks
143,General,2 ripe mangoes stoned and flesh scooped out with a spoon
143,General,"1 ripe pineapple peeled, cored and cut into chunks"
144,General,200 g butter
144,General,200 g caster sugar
144,General,4 large free-range egs
144,General,220 g ground almonds
144,Caramelised Ginger Pears,300 g ginger
144,Caramelised Ginger Pears,1 vanilla pod
144,Caramelised Ginger Pears,550 g caster sugar
144,Caramelised Ginger Pears,4 pears
144,Caramelised Ginger Pears,20 g butter
145,General,500 g organic plain flour plus extra for dusting
145,General,100 g icing sugar sifted
145,General,250 g good-quality butter cut into small cubes
145,General,1 lemon zest of
145,General,2 large free-range eggs beaten
145,General,1 splash milk
146,General,"175 g dairy-free margarine (suitable for baking), plus extra for greasing"
146,General,175 g self-raising flour
146,General,1 teaspoon baking powder
146,General,1 teaspoon ground cinnamon
146,General,175 g golden caster sugar
146,General,200 g ground almonds
146,General,2 large free-range eggs
146,General,3 ripe bananas
147,General,unsalted butter for greasing
147,General,150 g Medjool dates
147,General,150 g dried apricots
147,General,150 g pecan nuts
147,General,75 g crystallized ginger
147,General,1 small sprig of fresh rosemary
147,General,150 g dried cranberries
147,General,150 g raisins
147,General,150 g suet
147,General,150 g plain flour
147,General,75 g fresh breadcrumbs
147,General,200 ml semi-skimmed milk
147,General,1 large free-range egg
147,General,1 clementine
147,General,golden syrup
147,General,barrel-aged Bourbon
148,General,225 g cold unsalted butter plus extra for greasing
148,General,500 g plain flour
148,General,100 g icing sugar plus extra to serve
148,General,4 large free-range eggs
148,General,175 ml semi-skimmed milk plus extra for the dough
148,General,1 teaspoon vanilla extract
148,General,1 tablespoon cornflour
148,General,175 g fat-free Greek yoghurt
148,General,275 g caster sugar
148,General,2 x 410 g tins of peach slices
149,General,2 large free-range eggs
149,General,60 ml sweet wine or Marsala
149,General,olive oil
149,General,"250 g plain flour or Tipo 00 flour, plus extra for dusting"
149,General,1 litre sunflower oil for frying
149,General,200 g quality dark chocolate (70%)
149,General,100 g toasted hazelnuts
149,General,600 g quality ricotta cheese
149,General,1 teaspoon vanilla bean paste
149,General,2 tablespoons runny honey
149,General,2 heaped teaspoons quality cocoa powder
149,General,1 tablespoon grappa
150,General,1 ripe pineapple
150,General,"natural yoghurt to serve, optional"
150,General,2 tablespoons caster sugar
150,General,1 handful fresh mint
151,General,100 g shelled walnuts
151,General,5-6 ripe bananas (500g)
151,General,125 g unsalted butter (at room temperature)
151,General,125 g dark brown sugar
151,General,2 large free-range eggs
151,General,200 g plain flour
151,General,2 level teaspoons baking powder
151,General,1 level teaspoon bicarbonate of soda
151,General,1 level teaspoon ground cinnamon
151,General,olive oil
151,Chocolate Butter,100 g quality cooking chocolate (70%)
151,Chocolate Butter,2 oranges
151,Chocolate Butter,150 g unsalted butter (at room temperature)
151,Chocolate Butter,80 g icing sugar
152,General,1 large free-range egg
152,General,1 cup self-raising flour
152,General,1 teaspoon baking powder (optional)
152,General,1 cup milk
152,General,8 tablespoons desiccated coconut
152,General,1 pomegranate
152,General,20 g unsalted butter
152,General,1 lime
152,General,1 orange
153,General,200 g quality dark chocolate (70%)
153,General,1 x 400 g tin of black pitted cherries in syrup
153,General,200 ml double cream
153,General,4 large free-range eggs
153,General,2 tablespoons golden caster sugar
154,General,225 g fresh dates stoned
154,General,1 teaspoon bicarbonate of soda
154,General,85 g unsalted butter softened
154,General,170 g caster sugar
154,General,2 large free-range eggs
154,General,170 g self-raising flour
154,General,¼ teaspoon ground mixed spice
154,General,¼ teaspoon ground cinnamon
154,General,2 tablespoons Ovaltine
154,General,2 tablespoons natural yoghurt
154,For The Toffee Sauce,115 g unsalted butter
154,For The Toffee Sauce,115 g light muscovado sugar
154,For The Toffee Sauce,140 ml double cream
155,General,25 g vegan margarine plus extra for greasing
155,General,3 dessert apples
155,General,195 g muscovado sugar
155,General,180 g plain flour
155,General,1 teaspoon bicarbonate of soda
155,General,1½ teaspoons mixed spice
155,General,80 ml sunflower oil
155,General,1 tesapoon vinegar
155,General,1 lemon
155,General,85 g shelled walnuts
156,General,"150 g dried fruit, such as sour cherries, raisins, sultanas, chopped sour apricots, blueberries, or a mixture"
156,General,orange juice for soaking
156,General,150 g cold unsalted butter
156,General,500 g self-raising flour plus a little extra for dusting
156,General,2 level teaspoons baking powder
156,General,2 heaped teaspoons golden caster sugar
156,General,2 large free-range eggs
156,General,4 tablespoons milk plus a little extra for brushing
156,General,optional:
157,General,24 figs halved
157,General,2 clementines
157,General,2 teaspoons ground cinnamon
157,General,2 tablespoons caster sugar
157,General,1 large jar runny honey
158,General,100 g blanched almonds
158,General,1 tablespoon double cream plus extra to serve
158,General,75 g icing sugar plus extra for dusting
158,General,2 large free-range eggs
158,General,375 g block of all-butter puff pastry (cold)
159,General,130 g butter
159,General,150 g dark chocolate (70% cocoa solids)
159,General,55 g cherries
159,General,55 g roasted pecans
159,General,225 g caster sugar
159,General,55 g cocoa powder
159,General,75 g plain flour
159,General,¾ teaspoon baking powder
159,General,3 large free-range eggs
159,General,50 g milk or dark chocolate optional
160,General,2 x 500 g tubs of quality vanilla ice cream
160,General,1 kg panettone
160,General,125 ml Vin Santo
160,General,3 heaped tablespoons quality raspberry jam
160,General,100 g tinned cherries in juice
160,General,75 g glacé clementines (or other glacé fruit)
160,General,1 clementine
160,General,50 g shelled pistachios
160,General,300 g quality dark chocolate (70%)
160,General,25 g unsalted butter
161,General,250 g quality dark chocolate (70%)
161,General,50 g butter diced
161,General,175 g sponge fingers
161,General,400 ml good hot sweetened coffee
161,General,vin santo or other sweet dessert wine
161,General,4 large free-range eggs
161,General,100 g caster sugar
161,General,750 g mascarpone
161,General,2 oranges
161,General,a few fresh coffee beans bashed up finely
162,General,rice paper
162,General,"300 g nuts, such as almonds, pistachios or hazelnuts"
162,General,200 g candied peel
162,General,75 g plain flour
162,General,175 g dried figs
162,General,2 good splashes of sherry or vin santo
162,General,6 tablespoons runny honey
162,General,150 g golden caster sugar
162,General,1 teaspoon cardamom pods
162,General,½ teaspoon ground cinnamon
162,General,1 pinch of ground cloves
162,General,1 whole nutmeg for grating
162,General,icing sugar
163,General,400 g ripe red strawberries hulled and sliced
163,General,1 small glass Prosecco
163,General,1 tablespoon vanilla sugar or a few drops of vanilla extract
163,General,500 ml fat-free yoghurt
163,General,4 all-butter shortbread biscuits crushed
163,General,a few sprigs fresh mint to serve
164,General,1 lemon
164,General,1 orange
164,General,"1 stick of cinnamon (or cloves, allspice, star anise or a combination)"
164,General,200 g granulated sugar
164,General,2 pears
164,General,double cream to serve
165,General,450 g plain flour
165,General,8 large free-range eggs
165,General,800 ml milk
165,General,25 g butter plus extra for frying
165,General,18 slices of higher-welfare pancetta
