recipe,seq,step
52,2,"Drain away any excess booze from the cherries before adding them. Chop and add the mixed peel and almonds, followed by the cinnamon. Knead well. After about 5 minutes the dough should be elastic, but not sticky. "
52,3,"Flour the bowl and put the dough back. Cover with a cloth and leave for 1 to 2 hours, till doubled in size."
52,4,"Empty the dough onto a floured surface and briefly knead; roll into a 36cm x 26cm rectangle. Roll the marzipan out to be the same length and place along the middle. Fold the dough over, encasing the marzipan, and place on a tray. Leave to rise until doubled. "
52,5,Preheat the oven to 190ºC/gas 5. 
52,6,"Bake the stollen for 45 minutes, till golden. Leave to cool on the tray for 5 minutes, then transfer to a wire rack. Sieve the icing sugar into a bowl, add the clementine zest and juice to make a thick icing. Drizzle over the stollen before serving."
53,0,Preheat the oven to 150°C/300°F/gas 2. Put your egg whites into a clean bowl and whisk them at a medium speed until they start to form nice firm peaks. 
53,1,"With your mixer still running, gradually add the sugar and a pinch of sea salt. Turn the mixer up to the highest setting and whisk for 7 to 8 minutes more until the meringue is white, glossy and smooth. If it feels grainy, whisk for a little bit longer, being careful not to let the meringue collapse. "
53,2,Line two baking trays with baking paper. Divide the meringue mixture evenly between them and shape each blob into a circle about 20cm in diameter. 
53,3,Put both trays into the oven and bake for 1 hour until the meringues look slightly golden and are fluffy in the middle. 
53,4,Halve or quarter the large strawberries and leave the smaller ones whole. Mix them with the raspberries. 
53,5,"Whip the cream with the sugar until it forms soft peaks, then stir in the yoghurt. Halve the vanilla pod lengthways, scrape out the seeds and fold them into the creamy mixture. "
53,6,Spoon half the cream mixture on top of one of the meringue halves and smooth it out. Sprinkle half of your berries evenly around the cream mixture. Place the other meringue on top and press down gently to stick them together. 
53,7,"Spread the remaining cream mixture over the top layer and sprinkle the remaining berries on top. Pick a few small mint leaves, scatter over and enjoy!"
54,0,"To make the cannoli shells, sift the flour into a bowl, then stir in the sugar, bicarbonate of soda, cinnamon and a pinch of sea salt. "
54,1,"Make a well in the centre and add the lemon zest, marsala and egg yolk (set aside the egg white to use later). Melt and add the butter, then mix until thoroughly combined."
54,2,"Turn out the mixture onto your work surface and knead for 2 to 3 minutes, until smooth. Cover the dough with an upturned bowl and leave it to rest for 20 minutes."
54,3,Set up a pasta rolling machine at one end of your work surface and lightly dust the other end with a little plain flour – you’ll need about 1 metre of space. 
54,4,Pour the sunflower oil into a large saucepan and place over a medium heat. Pop a digital thermometer into the pan and bring the oil up to 170ºC to 180ºC.
54,5,"While the oil is heating, divide the dough into three – this will make it easier to work with – then use a rolling pin to roll out each piece into a rectangle 5mm thick."
54,6,Pass one piece through the pasta machine on the widest setting (leaving the others covered with the upturned bowl until you’re ready). Fold it in half and roll it through again. 
54,7,"Reduce the setting by one notch and pass through again. Continue rolling, until you reach the thinnest setting. Keep your surface and dough dusted with flour to stop it from sticking."
54,8,Lay out the rolled dough on your work surface and use a 10cm round cutter to stamp out discs. Wrap the discs around the cannoli tube or cream horn moulds and brush the join with a dab of the reserved egg white to seal – do not brush any egg white onto the mould or the cannoli might stick.
54,9,"By now the oil should have reached 180ºC. Lower the cannoli tubes into the hot oil and fry for about 1 minute, until golden brown and crisp. "
54,10,"Use tongs to carefully remove each tube, draining any excess oil back into the pan. Leave them on kitchen paper to cool slightly, still in their moulds, then once cool enough to handle, slide them off."
54,11,"Repeat the process with the remaining dough, making sure that the oil stays at a steady 180ºC."
54,12,"To make the filling, sift the icing sugar into a bowl, then beat in the ricotta, mascarpone and yoghurt until smooth. "
54,13,"Fold in the zest from 2 lemons and the juice from 1, then finely chop and add the candied peel and 25g of the pistachios (saving the rest to serve)."
54,14,"Scoop the mixture into a piping bag, then fill up each cannoli shell with the mixture."
54,15,"Finely chop and scatter the remaining pistachios over the ends of each cannoli, dust with icing sugar, and serve."
55,0,Preheat the oven to 220ºC/gas 7. 
55,1,Remove the pastry from the freezer so it’s partially thawed but still cold when you use it. 
55,2,"Using a sharp knife, remove the top, skin and eyes from the pineapple. Slice in half horizontally and then again vertically, and remove and discard the fibrous cores. Cut into 1cm slices and set aside. "
55,3,"Melt the butter in a large pan over a medium heat then sprinkle in the sugar and cook, swirling the pan occasionally, until it begins to caramelise. When the caramel is dark but not burnt, add 12 to 15 pineapple slices and cook for 6 to 8 minutes, or until they soften a little. "
55,4,"Arrange the pineapple in overlapping circles in a 24cm ovenproof pan. Pour over the caramel then lay the pastry on top, tucking the edge between the fruit and the pan."
55,5,"Bake in the centre of the oven for 20 to 25 minutes, or until the pastry is puffed and golden. Leave to rest for a few minutes before inverting onto a warm plate. "
55,6,Serve the pineapple tatin with some thick cream or crème fraîche.
57,0,"A killer mix of creamy banoffee pie and crunchy meringue, these little cups are great for parties"
57,1,"Preheat the oven to 200ºC/400ºF/gas 6. Unroll the pastry and place on a baking sheet. Bake in the oven for 15 minutes, until golden. Set aside to cool, then snap up into pieces. Divide the pieces between the tea or coffee cups."
57,2,"Fill up the cups with alternate layers of hazelnuts (set some aside to decorate), banana slices, spoonfuls of dulce de leche, dollops of cream and bits of meringue. Sprinkle with the reserved hazelnuts to serve."
58,0,"To make the pastry, dice the butter and place in a food processor with the flour, sugar and a grating of lemon zest. Pulse till you have fine crumbs. "
58,1,"Add the eggs and pulse till a dough is formed (you can also rub the flour, butter, sugar and a grating of zest together until they resemble fine breadcrumbs, then add the eggs and bring together to form a dough). "
58,2,Wrap in clingfilm and refrigerate for 1 hour.
58,3,Use butter to grease a 25cm loose-bottom tart tin. Roll out the pastry to ½cm thick and use it to line the tin. 
58,4,"Trim and reserve the remaining pastry, then chill the lined tin in the freezer for 30 minutes."
58,5,"Preheat your oven to 170ºC/325ºF/gas 3. Line the chilled tart tin with greaseproof paper, fill with baking beans and bake blind for 20 minutes, or until lightly golden."
58,6,"Combine the cooked wheat, milk, vanilla and half the lemon zest in a saucepan and bring to the boil. "
58,7,Reduce the heat and simmer until the wheat has absorbed all of the liquid. Remove from heat and allow to cool.
58,8,"In a bowl, mash the ricotta with a fork, stir in the egg yolks, then beat until light and fluffy. "
58,9,"Sift in the icing sugar, then finely chop and add the candied peel, along with the orange-blossom water, orange zest and remaining lemon zest. "
58,10,"Beat until combined, then stir in the wheat mixture. "
58,11,"In another bowl, whisk the egg whites until stiff, then carefully fold them into the wheat and ricotta mixture."
58,12,Pour the filling into the tart case. Roll out the remaining pastry and cut into 2cm strips and use to create a rough criss-cross over the tart. 
58,13,"Bake the tart for 50 minutes, or until golden. "
58,14,"Allow it to cool, then dust with icing sugar. Serve slices with dollops of cream, scattered with orange zest and drizzled with honey, if you like."
59,0,"It really wouldn’t be Christmas without being offered a mince pie, would it? I decided to do a bit of reinventing on the classic mince pie, so in this recipe I’m using a combination of puff and filo pastry, both of which you can buy ready-made in the shops for extra convenience."
59,1,"Preheat the oven to 200°C/400ºF/gas 6. Scoop the mincemeat into a mixing bowl and mix in the dried berries, the clementine zest and the sherry or brandy."
59,2,"Dust a clean work surface with flour and roll out the puff pastry into a big rectangle about 20cm x 40cm and the thickness of a pound coin. Thinly spread the mincemeat over the pastry, leaving a 1cm gap around the edges. Tightly roll up the pastry, lengthways, like a Swiss roll, place it on a floured tray, and pop in the fridge to firm up."
59,3,"Take two cupcake trays (for 12 cupcakes each) and butter each one lightly with the melted butter. Place one layer of filo pastry over the tray (you may need more than one sheet to cover each tray depending on the size of the sheets) and ease the pastry into each hole. Brush with the melted butter, then cover with a second layer of filo pastry. Brush with butter again."
59,4,"Take the puff pastry roll out of the fridge and, with a sharp knife, cut it into 24 slices. Place each slice, flat-side down, into a filo-lined hole. Brush with the egg and sprinkle a few flaked almonds on top of each little pie, then pop both trays in the oven for about 25 minutes, until cooked and golden brown."
59,5,"Leave to cool, then crack the individual pies out of the trays. Dust with a little icing sugar before serving."
59,6,"PS You can freeze the cooked, cooled mince pies in their trays (just wrap the lot in cling film) or in a plastic container. Just reheat them in a hot oven straight from the freezer."
60,0,Place a large earthenware or metal container into the freezer to chill. 
60,1,"Peel and core the pineapple, then cut into rough chunks."
60,2,Whiz the pineapple and mint to a smooth purée in a food processor. Add the cordial and mascarpone and whiz to combine. Pour into the chilled container and return to the freezer. 
60,3,"Mix the sherbet up with a fork every 30 minutes to aerate it, and keep it in the freezer until frozen through. This should take 2 to 3 hours, depending on your freezer and the depth of the container you use. "
60,4,Serve with fresh raspberries.
61,0,Preheat the oven to 180°C/350°F/gas 4 and line two 12-hole muffin trays with cupcake cases. 
61,1,Combine the dry ingredients in a bowl. 
61,2,Core and chop the apples.
61,3,"Beat the eggs, vegetable oil and sugar together till light and fluffy. "
61,4,Beat in the dry ingredients then stir in the chopped apple. 
61,5,Spoon the batter into the cupcake cases and bake for 20 to 30 minutes till firm and lightly golden.
62,0,Preheat the grill to full whack.
62,1,"In a bowl, gently mix the berries with the brandy and 2 tablespoons of sugar. "
62,2,"Pour into a heatproof dish, then evenly dot with the mascarpone and sprinkle over the rest of the sugar. "
62,3,"Place under the hot grill for 5 minutes, or until bubbling and caramelised."
63,0,"Melt the margarine, soya milk and 2 tablespoons of the sunflower oil in a small pan over a medium heat. Meanwhile, combine the flour, baking powder, salt and sugar in a large bowl. Make a well in the middle, then tip in the melted mixture."
63,1,"Gradually bring the mixture together with a fork until it forms a wet, thick dough, then divide and roll into 24 golf-ball sized balls. "
63,2,"Heat the remaining sunflower oil in a medium-sized deep pan over a high heat. To test if the oil is hot enough, drop a piece of bread into the pan – if the bread floats to the surface, sizzles and turns golden, it’s about right. Reduce the heat to medium, then use a slotted spoon to carefully lower six dough balls into the hot oil. Cook for 3 to 5 minutes, or until golden, cooked through and they’ve floated to the surface, turning occasionally. "
63,3,"Meanwhile, make the vanilla sugar. Halve the vanilla pod lengthways and scrape out the seeds. Bash the seeds and half the sugar in a pestle and mortar, then place into a large bowl with the remaining sugar."
63,4,"Transfer the cooked doughnuts to a double layer of kitchen paper to drain. Allow to cool for a few minutes, roll in the vanilla sugar to coat, then place on a tray. Repeat with the remaining dough balls."
63,5,"Meanwhile, make the raspberry dip. Place the raspberries, icing sugar and a squeeze of orange juice into a bowl, then crush well with the back of a fork. Serve the mini doughnuts with the raspberry dip, then tuck in!"
64,0,"Preheat the oven to 140°C/275°F/gas 1. Score the vanilla pods lengthways and scrape out the vanilla seeds with a knife or a teaspoon. Place the seeds into a saucepan, add the pods, all the cream and milk and slowly bring to the boil. Remove from the heat."
64,1,"Meanwhile, get yourself a large bowl that will fit over your pan and beat together the egg yolks and sugar until light and fluffy. Remove the vanilla pods from the pan and, little by little, add the milk and cream to the egg mixture in the bowl, whisking continuously. Add 2.5cm of hot water to your dirty pan, bring to a simmer and put the bowl on top of the pan. Cook the mixture for 5 minutes over the simmering water, stirring often, until it thickens and coats the back of a spoon. Stir in a small handful of lavender flowers, but the trick is to be delicate – you only need a hint of its distinctive, strong flavour. "
64,2,"Remove any bubbles or froth from the mixture before dividing it between your ramekins. Stand these in a high-sided roasting tray, and fill the tray with water halfway up the ramekins. Place carefully in the preheated oven and cook for around 30 to 45 minutes or until the mixture has set but is still slightly wobbly in the centre. Allow to cool at room temperature then place in the fridge until ready."
64,3,"To serve, sprinkle each crème brûlée with a tablespoon of caster sugar and some more of the lavender flowers and caramelize under a very hot grill or using the chef’s torch."
65,0,If you’re having a nice night with mates and there’s good wine and some conversation happening then I think this is a lovely thing to bring out a few hours after dinner. 
65,1,"It’s like a sorbet, but without the work. Fiery chilled grappa, good-quality chocolate and delicious frozen grapes are a great little combo that show you care and you’ve made a bit of effort. You could either use dark chocolate or a mixture of different flavours, depending on what you fancy. "
65,2,Put your bottle of grappa and the grapes in the freezer about 2 to 3 hours before you want to serve them. Right before serving; give your bars of chocolate a good whack against the counter to break them up into large chunks. 
65,3,"Pile these chunks in the middle of a nice wooden board, arrange your frozen grapes beside them and serve with a nice little glass of grappa to sip on while you watch the grapes and chocolate disappear. So simple, but such a treat."
66,0,"In the 60s and 70s, having a frozen dessert you could serve at a moment’s notice was the posh thing to do. The simple but glorious arctic roll started popping up everywhere, from restaurants to school and hospital menus. Eventually it became seen as something a bit naff and tacky, but I think smearing a home-made sponge with quality jam, good ice cream and a little bashed-up honeycomb is easy, fun, and just a bit silly. Roll it up, freeze it for a few hours, and you’ll get sweet and sour, crunch and softness, all in one mouthful. Heaven."
66,1,"Preheat the oven to 180°C/350°F/gas 4. Move the ice cream to the fridge so it starts to soften. Crack the eggs into a mixing bowl, add the sugar, and whisk until pale, fluffy and at least doubled in size. You can do this with an electric mixer, or by hand if you’ve got the muscle. Once it’s looking good, sift in the flour and slowly fold it through with a spatula. Grease a baking tray (roughly 26 x 36cm) with butter, then line it with greaseproof paper and grease that too. Spoon half your sponge batter on to the tray, blobbing it about in different places, then sift the cocoa powder into the remaining batter and fold it in."
66,2,"Spoon the chocolatey sponge into the gaps on the tray, and use the spoon to drag it through the white sponge in S-shapes and circles until it looks beautiful and marbled. Make sure there are no gaps. Place the tray on the middle shelf of the oven and bake for 12 to 15 minutes, or until cooked through."
66,3,"Grease another large sheet of greaseproof paper with butter and sprinkle over a few good pinches of sugar. Take the sponge out of the oven and confidently flip it over on to the paper. Peel and discard the top piece of paper, then, while the sponge is still warm and flexible, loosely roll it up into a long sausage, including the paper, and leave it to cool for around 20 minutes."
66,4,"Once cooled, gently unroll the sponge and spread over half of the jam. Take big dessert spoons of your soft ice cream and randomly distribute them over the sponge, leaving the last 5 or 6cm at one end free of filling so that it creates a seal when you roll it up. Put whatever you don’t use back in the freezer. Dollop over teaspoons of the remaining jam, then sprinkle your bashed-up chocolate bar all over. Use a spatula to smear everything into a fairly smooth dense layer."
66,5,"Confidently, start rolling the sponge up again, making sure there's no paper inside it. If the filling starts to slip out, just push it back in. Twisting the ends and squeezing it into a long, fairly even ice-cream sausage. Pop it into the freezer for 3 hours, and take it out around 5 to 10 minutes before you want to use it so it thaws enough to slice. Unwrap your arctic roll, take a slice out of each end to expose the frozen insides, and serve with fresh summer fruits tossed in lemon juice and a pinch of sugar, or any edible flowers if you have them."
67,0,"Preheat the oven to 180ºC/350ºF/gas 4. Grease a 20cm square cake tin with the margarine, then line the bottom with greaseproof paper and dust the sides with gluten-free flour."
67,1,"In a bowl, beat the margarine and sugar for around 5 minutes, or until light and fluffy. "
67,2,"Crack in the eggs, finely grate and add the zest from 2 lemons and 1 orange, then mix to combine. "
67,3,"Sieve the flour, baking powder and xanthan gum into the bowl, then fold through. Stir in the juice from 1 lemon and ½ an orange until you have a nice, smooth mixture."
67,4,"Pour the mixture into the cake tin, smooth out to the edges, then place on the middle shelf of the hot oven for 35 minutes, or until golden and an inserted skewer comes out clean. "
67,5,"Leave to cool for 5 minutes, before turning the cake out onto a wire cooling rack, then leave to cool completely while you make the icing."
67,6,"Combine the icing sugar with the zest and juice from ½ a lemon and ¼ of an orange. Once the cake has cooled, drizzle the icing on top, grate over a little lemon and orange zest, then serve."
68,0,"Pour the clementine juice into a pan on a high heat to warm through – don’t let it boil. Add a little sugar to sweeten – not too much, you still want that zippy clementine flavour. "
68,1,"Peel the ginger and grate a tiny bit into the pan. Grate a bit more onto a chopping board, then squeeze it over the pan of juice so you get a few drips of ginger juice in there. Take the juice off the heat. "
68,2,"Sprinkle the gelatine over the juice, then whisk in quickly. "
68,3,"Arrange 6 small serving glasses on a tray. Peel the clementines, slice into thin rounds and put 2 in each glass. Sieve the juice mix into each glass, allow to cool, then refrigerate for about 3 hours, or until set. "
68,4,"To serve, mix the vanilla into the yoghurt and dollop a spoonful on top of each jelly, then grate or shave a few pretty bits of chocolate on top."
69,0,Preheat the oven to 190°C/375°F/gas 5. 
69,1,"Peel and core the apples, then quarter and cut in to chunks."
69,2,"Put the apples into a pan with the sugar and 1 tablespoon of water, then cook over a low heat for 5 minutes to soften slightly, stirring occasionally, then tip into a small ovenproof baking dish."
69,3,Place the flour and oats in a bowl and mix well. Chop the butter into small cubes and add this to the oats and flour. Mix and rub in with your fingertips until it resembles an even crumb texture. 
69,4,"Add the sugar and mix through, then cover the fruit with the crumble mixture. "
69,5,"Bake for around 20 minutes, or until golden and cooked through."
70,0,"To make the pastry, sieve the flour and icing sugar into a large mixing bowl from a height."
70,1,"Chop the butter into cubes, then, using your fingertips, gently work it into the flour and sugar until the mixture resembles breadcrumbs (or pulse in a food processor)."
70,2,"Halve the vanilla pods, scrape the seeds into the bowl and mix again. "
70,3,"Beat 2 eggs with the milk, then add to the flour mixture and gently work it together until it forms a ball of dough. (Be careful not to overwork the pastry or it will become elastic and chewy, not crumbly and short.)"
70,4,"Divide the dough in half, sprinkle with flour, then pat each piece into a flattened round about 2½cm thick. Sprinkle over a little more flour, then wrap each piece in clingfilm and pop into the fridge to rest for at least 30 minutes."
70,5,Lightly grease a 24cm non-stick loose-bottomed tart tin with vegetable oil.
70,6,"Tear off two large sheets of greaseproof paper. Roll out one piece of pastry between the sheets to about ½cm thick, turning every so often. "
70,7,"Loosely roll up your pastry around a flour-dusted rolling pin and unroll it over the oiled tin, easing and pushing it carefully into the sides. Trim off any excess, patch up any holes, then prick the base with a fork, cover with clingfilm and chill in the fridge for 30 minutes. "
70,8,Preheat the oven to 180°C/350°F/gas 4.
70,9,"Meanwhile, prepare the filling. Peel, core and roughly chop the apples and place into a large saucepan with the butter, sugar, allspice and 200ml of water. "
70,10,"Simmer on a medium heat for 8 to 10 minutes, or until soft, then carefully tip the apples into a colander set over a bowl to catch the juices and leave to stand for 5 minutes. "
70,11,"Tip the strained liquid back into the pan and simmer over a medium heat for 5 to 10 minutes, or until reduced by half and syrupy. Remove from the heat and leave to cool. "
70,12,"Pour the cooled syrup over the apples, then fold through the blackberries."
70,13,"Scrunch up a large piece of greaseproof paper, then unwrap it and use it to line your pastry case, pushing it right into the sides. Fill the case with rice or baking beans, and bake blind for 15 minutes."
70,14,"Carefully remove the rice or beans, and greaseproof paper, then return the case to the oven for a further 5 minutes. "
70,15,"Beat the remaining egg with a splash of boiling water and brush all over the inside of the pastry case, then bake for a further 15 minutes, or until golden and crisp."
70,16,"Cut your remaining pastry into quarters and roll out one piece between two sheets of baking paper to 3mm thick – this will be your pie lid. Carefully transfer to a large tray, keeping the pastry on the paper. "
70,17,"Roll out another quarter of pastry to about the same size as the lid and cut out strips for your lattice, using a ruler as a guide and a pizza cutter for straightness. Lay the strips over the lid, side-by-side, ensuring the sides are touching. "
70,18,"Roll out another quarter of pastry and cut into strips as above.To ensure your pie is equal on both sides, lay the middle strip first, then gently lift alternate strips to weave your lattice in a criss-cross pattern."
70,19,"To make the rose decorations, roll out the remaining quarter of pastry and stamp out 5 discs with the back of a piping nozzle or a 2½cm round cutter. Arrange them on a cold surface in a row, overlapping each one. Cut them in half lengthways with a sharp knife, then carefully roll up each line to create a rose effect. Repeat to make as many roses as you like."
70,20,Cut out the leaves for your flowers (I used leaf cutters in two sizes). 
70,21,"Take a small piece of pastry and roll it with your fingers to make one long stem. Gently drape it over your lattice, curling it where you like. Repeat to make another stem. "
70,22,"Dot your roses and leaves around the stems, then roll the remaining pastry into pea-sized buds and dot over the lid. "
70,23,"Put the lid in the fridge for 30 minutes or freeze for 5 minutes, until really firm."
70,24,Fill the pie with the cooled apple filling.
70,25,Carefully peel off the baking paper and slide the lid onto the pie. Press down on the edges of the pie dish to trim the excess and create a neat lid. 
70,26,"Brush with a little more egg to glaze, then sprinkle with soft brown sugar and bake for 40 to 45 minutes, or until golden."
71,0,Preheat the oven to 180ºC/350ºF/gas 4. 
71,1,Lightly grease the bottom and sides of a 1-litre loaf tin with olive oil. 
71,2,"Dust the sides of the tin lightly with flour, then tap to get rid of any excess. "
71,3,Peel and add the bananas to a mixing bowl. 
71,4,"Using a fork, mash the bananas so you’ve got a mixture of smooth and chunky, then put aside. "
71,5,Add the apple juice and stir to combine. 
71,6,"In a separate bowl, beat the butter with a wooden spoon until creamy. "
71,7,"Crack in the eggs one at a time, beating each one in well before adding the next. It might look a little lumpy at this stage, but it will come back together."
71,8,"Fold in the flour, cinnamon, honey and banana mixture, taking care not to over mix. "
71,9,"Roughly chop the pecans on a chopping board, if using, then fold through the mixture. "
71,10,"Spoon into the loaf tin, then bake in the hot oven for around 40 minutes, or until golden and cooked through. "
71,11,"To check if it’s done, stick a cocktail stick or skewer into the middle of the loaf, remove it after 5 seconds and if it comes out clean the loaf’s cooked; if it’s slightly sticky it needs a bit longer. "
71,12,"Allow the loaf to cool slightly, then carefully turn out on to a wire rack to cool completely. "
71,13,"Transfer to a nice plate, cut into slices, then serve."
72,0,Preheat oven to 180ºC/gas 4. 
72,1,"Sift together the flour, ginger, baking powder, cinnamon, cloves and nutmeg with 1 teaspoon of sea salt into a bowl."
72,2,"In a saucepan over a low heat, combine the treacle, sugar and butter, then simmer for 5 minutes, stirring occasionally.Allow the treacle mixture to cool until lukewarm then stir it into the flour mixture. Add milk and crème fraîche and stir again. Squeeze in the orange juice, then add the brandy, beat and add the eggs, then stir to a smooth batter.Pour into lightly buttered and floured 24cm square baking tin and bake for 30 to 40 minutes, or until a skewer inserted comes out clean. Remove from the oven and leave to cool in the tin. "
72,3,"While the cake is cooling, hull and slice the strawberries, then macerate them in twice as much rum to icing sugar. "
72,4,"When the cake is cool, cut it into 3cm slices, then in half again. Top a piece of cake with a slab of ice cream, another piece of cake, more ice cream, then strawberries."
73,0,"First, de-stalk your strawberries and place them in a pan with the sugar. Heat gently until the strawberries stew down slightly and some of their juices come out. "
73,1,"Lightly whip the cream with the seeds from the vanilla pod, and then stir in the yoghurt. "
73,2,"Divide the rum babas or madeleines between 4 dessert glasses and spoon the strawberries, cream and custard in layers on top. Decorate with halved strawberries and mint leaves, then serve."
74,0,"Preheat the oven to 170ºC/325ºF/gas 3. Put the dried apricots into a small bowl, cover with boiling water and leave to plump up and soften slightly.  "
74,1,"Meanwhile, mix the flour, ground almonds and caster sugar together in a bowl. Add the butter and rub together to make a soft dough – this isn't as crumbly as shortbread, so keep mixing until everything comes together nicely. Divide the dough into 4 pieces, flatten slightly, wrap in cling film and chill in the fridge for 30 minutes."
74,2,"Drain the apricots, then pulse in a food processor until coarsely chopped. Tip into a small pan over a low heat and add the apricot jam, then allow to bubble and reduce slightly until you have a sticky, but spreadable mix. Set aside and leave to cool."
74,3,"Line 2 baking sheets with greaseproof paper. Once the dough is chilled, lightly dust a work surface with plain flour. Unwrap the first ball of dough and roll into a disc, roughly the thickness of a pound coin. Take a 6cm fluted pastry cutter and cut out 8 rounds (4 bases and 4 tops). Use a 2cm heart-shaped cutter to cut out the middle of half the biscuits. Place all the biscuits and the little hearts onto the lined baking sheets, then repeat with the other 3 pieces of dough."
74,4,"Place the trays in the hot oven and bake for around 15 minutes, or until lightly golden and cooked through. Remove the trays from the oven and quickly sprinkle over a few big pinches of caster sugar, then carefully transfer the biscuits onto wire cooling racks and leave to cool completely."
74,5,"To assemble, turn the base biscuits so they’re sugary-side down and dollop a little apricot filling into the centre of each one. Place the top biscuits sugary-side up on top and press lightly to sandwich together – you can mix and match using the little heart cut outs as tops too, if you like. Wrap up nicely and present to the parents of the new arrival with a bow or curtsy."
75,0,Preheat the oven to 160ºC/gas 2-3. Grease and dust a 24cm springform cake tin and line the base with greaseproof paper. 
75,1,"Beat the butter till pale and creamy, add the honey and stir to combine. "
75,2,"Crack in the eggs, one at a time, then add each dry ingredient until just combined, being careful not to overwork the mixture."
75,3,"Spoon the mixture into the tin, level with a spoon, then bake in the centre of the oven for 45 to 50 minutes, or till the cake is springy to touch. "
75,4,"Cool a little in the tin, then turn onto a wire rack to cool completely."
75,5,"For the ganache, break the chocolate into a heatproof bowl, and add the butter. "
75,6,"Gently heat the cream in a saucepan, then just before it simmers, pour it over the chocolate and butter and stir until melted and smooth. Leave to cool slightly and thicken."
75,7,"Brush off any crumbs, then spread a thin layer of ganache all over the cake to prevent remaining crumbs getting caught in the top layer. "
75,8,Spread over the remaining ganache with a spatula or palette knife. Serve with physalis and cream.
76,0,"Thanks to the existence of the mighty Mississippi River, there are loads of beautiful bayous right across the state of Louisiana (these are basically streams or creeks, but they’re not like any streams or creeks I’ve seen in Britain). Louisiana bayous have a sort of wild, swampy charm about them that I love. Wild pecan trees grow along the banks, so there’s no shortage of this delicious nut. Another ingredient. Louisiana has in abundance is molasses, thanks to the fields and fields of sugar cane. I’ve used both these ingredients to make this beautiful, and quintessentially Southern, dessert. Molasses can be found in health food shops and all good supermarkets – it’s worth getting your hands on some if you can."
76,1,"Start by making the pastry, adding the optional vanilla seeds and orange zest from the list of ingredients."
76,2,Preheat your oven to 180°C/350°F/gas 4. Take half your pecans and put them inside a clean tea towel or in a sandwich bag. Use a rolling pin to bash them up finely.
76,3,"After the pastry has had 30 minutes in the fridge, continue through the method of the sweet pastry recipe until baked blind. "
76,4,"To make the filling, use a whisk to mix the eggs, sugar and cinnamon in a bowl. Add your finely bashed pecans and mix again with a spoon until completely blended and smooth. Add the molasses, melted butter and bourbon, mix well, then fold in your reserved whole pecans. Pour this mixture into the pastry case."
76,5,"Put the tart into the oven and bake for 25 to 30 minutes, until the filling starts setting at the sides."
76,6,"Remove and leave to cool in its tin for an hour (if you can wait that long), to really help it set, before serving. I think a slice of slightly warm pie with a scoop of vanilla ice cream is absolute heaven."
77,0,"Preheat the oven to 190°C/375°F/gas 5. Grease two 25cm x 35cm baking trays with sides, line the bases with greaseproof paper, then dust lightly with flour."
77,1,"For the sponges, beat 250g of the butter and all the golden caster sugar together until very light and fluffy. One-by-one, beat in the eggs, followed by the milk and vanilla extract, then sift and fold in the flour and baking powder. "
77,2,"Divide cake mixture between the prepared tins and spread out evenly, then bake for 12 to 15 minutes, or until golden, risen and an inserted skewer comes out clean. Cool slightly in the tins, then transfer to wire racks to cool completely."
77,3,"For the icing, sieve the icing sugar into a heatproof bowl. Snap in the chocolate, roughly chop and add the remaining butter, then melt over a pan of simmering water, stirring regularly until glossy. Pour the dessicated coconut onto a flat tray."
77,4,"Once cooled, spread the jam over one of the cakes, then place the second cake on top. Carefully slice into 4cm squares – you should end up with 54 in total."
77,5,"To decorate, get a little production line going – dip a square of cake into the chocolate icing, turning to coat all the sides. Place the chocolate dipped sponge onto a wire rack to allow excess chocolate to drip off, then coat with the coconut, returning to the wire rack to set. "
77,6,"Repeat with the remaining cakes, then once set, tuck in!"
78,0,"In a bowl, mix the orange zest, chopped pecans and stem ginger into the mincemeat, then add a splash of brandy. Set aside. "
78,1,"Preheat the oven to 220ºC/425ºF/gas 7. Lay the pastry on a clean work surface with a short edge facing you. Spread thinly and evenly with the mincemeat mixture, leaving a 2.5cm border of pastry along the short edge furthest away from you. Brush the pastry border with a little beaten egg, then, from the edge nearest to you, roll up the pastry tightly like a Swiss roll. Wrap in cling film and pop in the freezer for 10 minutes to firm up. "
78,2,"Unwrap the pastry and cut off and discard the ends to neaten. Slice into 24 rounds, then lightly flatten each one. Using a fish slice, transfer to 2 non-stick baking sheets, spaced apart. Bake in the oven for 15–18 minutes, until cooked through, puffed and golden brown. Place on a wire rack to cool. "
78,3,"When you’re ready to serve, spoon a tiny blob of vanilla ice cream onto each mincemeat palmier. Fill a tray with glasses of good sweet sherry and place a palmier on top of each glass."
79,0,Soak the dried fruit in the limoncello for 10 minutes. 
79,1,"Spoon the mincemeat into a pan and warm it up – keep stirring while it melts and smooths out a little. Take off the heat, add the soaked berries and limoncello, then leave to cool. "
79,2,"Whip the double cream to soft peaks. Fold in the candied peel and ginger, then finely grate in the lime and clementine zest. Spike the cream with a few drops of the clementine juice. "
79,3,"Scoop balls of ice cream into serving bowls and top each with a spoonful of the mincemeat mixture. Top with dollops of cream, then crumble over the meringue. Keep layering until all the bowls are full or you’ve used up all the ingredients. "
79,4,"Pick and tear over the mint, then serve with a glass of ice-cold limoncello!"
80,0,Preheat the oven to 170ºC/gas 3. 
